"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 REPOLHO,-3.12,-7.91,-11.85,-10.53,-6.97,-15.15,-10.57,0.0,-22.51,-6.21,-18.72,-17.83,-18.16,-11.68,0.0,-11.97,-10.7
 CHEIRO-VERDE,-1.28,0.0,0.0,0.0,-6.96,4.75,-0.66,-4.25,1.19,0.0,0.0,2.95,0.65,-0.92,-5.89,0.0,-3.26
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08
 BRÓCOLIS,-3.0,-16.71,-5.55,0.0,-12.86,-3.17,0.0,0.0,0.0,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,-9.24
 FRUTAS,-1.85,11.42,-0.95,-3.28,0.2,0.2,-1.84,6.83,-1.89,10.64,1.16,1.8,7.53,-0.21,-6.07,-1.42,2.14
 BANANA-DA-TERRA,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,9.56,0.0,0.0,2.3,0.0,4.07,0.0,0.0,7.88
 ABACAXI,-2.03,12.91,1.25,0.9,-1.46,0.0,0.0,0.0,0.0,9.56,-0.83,0.0,-2.31,0.0,0.0,4.94,1.7
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
 BANANA-D'ÁGUA,7.68,6.62,0.0,0.0,5.8,16.88,0.0,0.0,0.0,39.43,0.0,0.0,25.62,0.0,0.0,0.0,10.64
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.78,0.0,5.97,0.0,0.0,0.0,12.08
 BANANA-PRATA,-3.31,-0.92,-0.84,0.76,-5.82,-4.28,-4.23,12.86,-3.13,1.01,0.59,2.59,0.0,-3.16,-6.51,-3.32,-1.57
 LARANJA-BAÍA,0.0,-3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.21
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,20.16
 MAÇÃ,-2.77,-4.17,2.3,-8.57,-4.01,0.89,-4.26,-0.33,-5.98,3.9,-2.63,-0.07,-1.32,-1.61,-7.54,-0.04,-2.48
 MAMÃO,0.06,8.82,-1.39,-0.03,1.68,14.43,-1.35,12.7,15.85,7.36,0.0,-3.78,12.15,0.0,-3.6,3.8,3.94
 MANGA,-3.47,0.0,0.0,-3.28,0.0,-1.87,0.0,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,0.62,-2.9
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,-4.62,0.0,0.0,0.0,0.0,0.0,0.0,-1.58,-3.52
 MELANCIA,0.0,0.0,0.33,-5.39,2.1,-2.37,-2.98,-9.79,-4.38,3.43,-5.05,0.0,-0.72,0.96,-9.33,-16.05,-2.23
 PÊRA,2.63,0.0,0.0,0.0,10.3,2.22,0.0,0.0,0.0,0.0,3.34,7.96,0.0,0.0,0.0,0.0,7.07
 TANGERINA,0.0,17.16,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,16.21
 UVA,-1.27,0.0,0.06,2.36,5.42,-0.58,2.6,3.45,-3.91,10.11,8.05,7.61,3.62,1.43,2.85,2.8,3.1
 LARANJA-PERA,-4.48,0.0,-2.62,-14.55,-6.93,-9.66,-1.41,1.49,-5.52,2.34,-0.75,1.92,1.49,0.52,-5.88,1.23,-4.9
 MORANGO,0.0,2.61,-10.13,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,-2.53
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76
 CARNES,-1.44,-2.21,-1.77,0.33,-1.07,-2.0,0.24,-1.12,0.3,0.97,0.68,-1.51,-0.47,0.17,0.46,-1.12,-0.75
 FÍGADO,0.0,0.0,0.0,-0.41,0.0,0.0,-1.02,-1.23,-1.01,0.0,0.0,0.0,0.0,0.0,-4.76,0.31,-1.41
 CARNE DE PORCO,0.28,-1.54,-1.91,-3.33,1.24,-1.44,-4.84,0.64,-0.33,2.36,-2.09,-1.71,2.21,-0.49,-2.25,-0.92,-0.16
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
 CONTRAFILÉ,-1.57,-0.99,-1.21,-2.97,-1.01,-1.68,1.32,-2.22,3.45,1.87,0.68,-2.1,0.31,-0.85,-1.01,-0.17,-0.6
 FILÉ-MIGNON,-4.82,0.0,0.0,8.46,0.0,0.0,0.29,0.0,0.59,-1.32,-0.18,0.0,2.18,0.0,0.0,0.0,-0.43
 CHÃ DE DENTRO,-1.16,-4.53,-4.06,-1.86,-0.74,-2.45,0.33,-2.77,0.0,-1.35,1.1,-2.29,-0.11,2.28,1.49,-0.85,-1.16
 ALCATRA,-6.52,-3.97,-1.38,-0.34,-0.87,-2.91,-1.1,-1.0,-0.71,1.24,0.1,-1.28,-1.56,-0.53,1.23,0.73,-1.57
 PATINHO,-1.85,-2.32,-2.88,0.49,1.02,-1.34,1.41,-1.51,2.51,-0.82,1.09,-1.88,-1.14,0.02,1.27,-2.28,-0.08
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-0.26,-3.43,0.0,-0.19,-0.26,0.0,-0.85,0.0,0.7,0.04,0.0,-1.79,-0.74
 MÚSCULO,1.92,-3.91,-1.07,3.42,-1.27,0.0,1.97,0.0,-1.77,1.48,2.26,-2.91,1.63,0.66,4.6,-0.48,-0.46
 PÁ,0.0,-2.36,0.0,1.12,-2.23,-2.62,-0.38,0.0,-0.91,3.12,0.0,0.0,-1.32,0.03,4.29,-0.5,-0.83
 ACÉM,-1.79,-3.8,-2.22,0.05,-3.56,-0.22,-1.14,-0.6,2.15,-0.17,0.13,-0.95,-2.14,0.17,-3.36,-0.44,-2.11
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-2.02,-0.24,0.0,2.02,0.0,2.4,0.23,1.64,-1.42,0.12
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,0.17,0.0,0.0,-4.18
 COSTELA,4.91,-1.2,-1.39,0.8,-0.82,-1.03,4.55,1.0,-1.27,1.32,2.11,0.12,0.51,0.23,0.99,-2.62,0.38
 PESCADOS,-1.63,-0.66,-1.95,0.77,-2.6,-0.96,-0.38,-1.2,0.55,1.67,1.28,1.19,1.45,3.04,-0.93,-0.34,-0.7
 PEIXE-ANCHOVA,-15.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.87
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.0,0.0,0.0,0.0,4.93
 PEIXE-CORVINA,-4.19,0.0,0.0,2.82,0.0,0.0,0.0,0.0,-1.04,0.0,0.0,0.0,0.0,0.0,0.0,-2.78,-1.0
 PEIXE-CAVALINHA,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02
 PEIXE,0.0,-0.66,-1.95,0.0,0.0,-0.96,0.0,0.0,0.0,1.67,1.28,0.0,0.0,0.0,0.0,0.0,-0.4
 PEIXE-PESCADINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,0.0,-1.76
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.06,-5.06
 PEIXE-SARDINHA,0.0,0.0,0.0,-0.22,-7.81,0.0,0.0,0.0,8.06,0.0,0.0,0.0,2.87,0.0,0.0,-0.72,-3.78
 CAMARÃO,0.43,0.0,0.0,2.34,0.0,0.0,3.22,0.0,3.03,0.0,0.0,-2.16,1.45,0.0,7.55,1.03,2.39
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.92
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.15,0.0,0.0,0.0,-3.15
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0.0,8.68
 PEIXE-CAÇÃO,-1.63,0.0,0.0,0.0,-4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,-3.36
 PEIXE-MERLUZA,2.95,0.0,0.0,-5.41,-2.6,0.0,0.0,0.0,2.45,0.0,0.0,0.0,5.41,0.0,0.0,0.0,-0.48
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,-2.22,10.48,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,2.17
 PEIXE-PESCADA,-2.4,0.0,0.0,3.65,-0.58,0.0,-1.6,0.0,-2.98,0.0,0.0,2.09,0.0,0.0,-2.36,-2.62,-1.29
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.55
 PEIXE-CASTANHA,0.0,0.0,0.0,-6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.46
 PEIXE-PIAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,3.04
 PEIXE-SURUBIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,2.87
 SURURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,2.74
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,-10.2,0.0,-7.88
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,3.08,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,2.35
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-3.08
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-1.29,0.0,-0.75
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.46
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.0,0.0,0.0,0.0,-2.93
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,3.15
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,3.04
 CARNES E PEIXES INDUSTRIALIZADOS,0.21,-0.18,-0.47,-0.24,0.5,-0.56,0.26,-1.31,2.68,-0.14,0.33,-0.77,-2.23,-0.74,0.56,-0.23,0.29
 PRESUNTO,1.4,-2.04,-2.58,0.0,-2.2,-3.16,-1.28,-0.01,-3.52,2.2,-2.0,-1.83,-3.83,-2.65,0.0,-3.07,-1.44
 SALSICHA,-0.27,0.17,5.28,1.85,-1.3,1.66,2.71,0.0,0.0,-0.82,3.37,0.48,0.41,-1.88,1.96,0.26,-0.03
 LINGUIÇA,-0.48,1.05,-0.85,-0.32,2.95,0.21,-1.55,-1.59,2.32,-1.6,1.16,-0.94,-3.12,1.39,2.14,-2.47,0.97
 MORTADELA,-0.02,-2.14,-1.94,0.06,-2.0,0.0,0.64,-1.55,0.0,0.78,0.0,-3.81,0.89,-3.39,0.0,3.17,-1.05
 SALAME,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
 CARNE-SECA E DE SOL,0.9,0.0,0.0,-0.54,0.0,0.0,0.71,-1.07,3.5,0.0,0.0,2.39,0.0,1.47,-2.73,0.71,1.32
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32
 AVES E OVOS,0.27,-0.12,0.42,2.07,0.59,-1.22,-1.39,-0.85,-0.94,-0.17,-2.3,0.1,0.5,-0.41,-0.66,0.09,-0.04
 FRANGO INTEIRO,1.61,0.15,1.4,5.01,2.17,-3.98,-2.57,-1.22,-0.75,-1.35,-2.94,0.54,-0.56,-0.45,0.07,-0.37,0.19
 FRANGO EM PEDAÇOS,-0.33,0.09,0.1,-2.19,1.1,0.52,-0.46,0.29,1.0,0.6,-1.87,-0.01,0.66,1.56,-1.37,0.41,0.26
 OVO DE GALINHA,0.37,-0.93,-0.82,-2.78,-2.18,1.13,2.4,-0.11,-6.14,-0.23,-0.31,-0.83,1.75,-1.73,-2.7,0.57,-1.02
 LEITE E DERIVADOS,-0.93,-1.23,-0.39,0.52,0.02,0.0,-0.18,-0.82,-2.1,2.03,0.56,-0.54,-0.72,-0.42,-1.13,-1.82,-0.3
 LEITE LONGA VIDA,0.43,-2.22,-0.06,-0.94,-0.77,0.58,-1.65,0.14,-0.73,2.55,-0.09,-1.06,-0.79,-0.24,-0.14,-3.26,-0.33
 LEITE CONDENSADO,0.0,0.54,0.0,0.0,0.0,0.0,3.21,-3.37,0.0,0.0,0.0,0.0,-1.23,2.9,0.0,0.0,0.44
 LEITE EM PÓ,-3.29,-0.39,0.0,-0.35,-0.93,0.0,-0.58,-1.1,-3.74,1.95,-0.2,0.12,1.11,-0.21,-1.92,-1.28,-1.47
 QUEIJO,-1.98,-0.17,-1.45,2.73,0.85,-0.68,-0.08,-1.83,-1.69,1.6,2.5,0.98,-1.51,-1.77,-1.5,-1.25,-0.01
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.01
 IOGURTE E BEBIDAS LÁCTEAS,-0.3,0.12,0.43,-1.23,1.95,-0.75,0.54,-0.25,-2.08,0.41,1.6,0.26,0.59,-0.68,0.12,-2.28,0.47
 MANTEIGA,0.0,0.0,0.0,-1.11,0.0,0.0,2.44,-1.4,-3.09,0.0,0.0,-3.37,0.0,-1.97,0.0,0.59,-1.22
 PANIFICADOS,-0.43,-0.51,0.4,-0.05,-0.16,0.76,0.15,0.71,-2.29,0.91,-1.41,0.07,0.36,0.52,-0.6,0.85,-0.18
 BISCOITO,-2.51,-0.6,-0.2,-0.29,-1.06,-2.27,-0.9,-0.2,0.47,0.06,-0.49,-0.43,0.61,0.03,1.18,0.61,-0.65
 PÃO FRANCÊS,0.78,-0.5,0.54,0.2,0.67,1.7,0.5,1.09,-3.68,2.4,-1.67,0.2,0.09,0.59,-1.62,0.89,0.23
 PÃO DOCE,-1.41,-0.74,1.38,0.0,-0.68,-1.52,1.11,-0.83,-1.12,0.95,0.0,2.73,1.05,0.0,0.0,2.83,-0.27
 PÃO DE FORMA,-3.26,-0.88,-0.34,0.0,-3.57,0.32,0.0,0.0,0.0,-0.67,-2.01,-1.1,1.98,0.0,0.0,0.0,-2.35
 BOLO,0.25,0.57,-0.15,-1.8,0.26,-1.98,-0.32,1.06,-1.64,-3.12,-2.86,0.3,0.18,1.51,2.74,0.08,-0.36
 PÃO DE QUEIJO,0.0,0.0,1.63,0.0,0.0,4.42,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,1.48
 ÓLEOS E GORDURAS,0.29,-0.05,-0.24,-0.27,-2.42,1.02,-0.63,-1.24,-0.07,-0.24,-2.44,-0.24,3.57,0.27,-0.21,-1.65,-0.79
 ÓLEO DE SOJA,3.48,0.74,-0.53,0.29,-3.92,0.25,-1.72,-0.57,-0.93,0.14,-3.0,-0.38,3.88,0.4,-0.27,-0.96,-0.99
 AZEITE DE OLIVA,1.11,0.0,0.0,0.0,-2.52,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,-1.29
 MARGARINA,-3.04,-1.59,0.5,-0.72,0.17,1.84,1.12,-1.94,1.08,-0.87,-0.21,1.18,2.86,-0.07,-0.1,-2.57,-0.39
 BEBIDAS E INFUSÕES,-0.07,0.47,0.37,0.41,-0.41,-0.45,-4.74,-0.52,-1.03,-0.09,0.95,0.25,-0.15,-0.08,-0.41,-0.28,-0.41
 SUCO DE FRUTAS,1.22,0.51,1.01,0.57,0.01,-0.1,-1.68,-1.67,0.85,-1.12,-1.79,-1.51,0.94,0.19,-1.91,0.35,0.0
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,-14.77,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.0,0.0,-14.62
 CAFÉ MOÍDO,0.09,-1.17,-0.23,-1.74,0.9,-3.5,-0.43,-1.78,-2.06,-1.83,0.24,-0.27,-1.26,-0.02,-1.16,-0.84,-0.44
 CAFÉ SOLÚVEL,0.0,1.98,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,1.58
 CHÁ,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,-0.27,0.0,0.0,0.0,0.62
 REFRIGERANTE E ÁGUA MINERAL,-1.35,0.71,0.12,1.16,-2.39,-0.78,-0.3,-0.27,-2.42,0.15,1.38,0.65,-0.02,-0.95,1.12,-0.62,-0.79
 CERVEJA,1.3,-0.04,1.29,0.03,2.04,2.05,1.48,2.37,1.75,0.78,1.63,0.86,0.15,1.43,-1.23,0.43,1.34
 OUTRAS BEBIDAS ALCOÓLICAS,0.59,0.64,0.39,-0.6,-1.64,1.73,3.53,0.51,-0.13,1.98,1.26,0.75,0.0,0.0,0.0,-0.5,0.14
 ENLATADOS E CONSERVAS,0.4,0.64,0.23,1.11,0.0,-0.06,0.84,-0.14,1.87,0.57,0.62,1.38,1.12,0.35,0.64,-0.79,0.41
