"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 AMIDO DE MILHO,       -,       -,       -,       -,       -,       -,       -,-0.42,       -,       -,       -,       -,       -,       -,       -,       -,-0.42
 FLOCOS DE MILHO,       -,       -,       -,2.78,       -,0.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.52,1.35
 FARINHA DE TRIGO,1.11,-0.11,-1.49,       -,-2.46,       -,0.52,       -,       -,1.33,-0.61,-3.22,0.94,       -,       -,       -,-0.58
 FARINHA VITAMINADA,       -,       -,       -,-0.63,       -,       -,       -,-1.98,       -,       -,       -,       -,       -,       -,       -,-1.02,-1.24
 FARINHA DE MANDIOCA,-1.28,       -,       -,-0.88,       -,-2.02,2.66,-3.51,-2.15,       -,       -,-0.6,       -,0.04,1.04,-0.33,0.14
 MASSA SEMIPREPARADA,-0.79,0.55,-0.8,       -,-0.87,-1.92,       -,       -,       -,1.31,0.71,-0.17,3.92,       -,       -,-2.77,-0.28
" TUBÉRCULOS, RAÍZES E LEGUMES",-13.81,-9.89,-13.74,-12.22,-7.93,-15.35,-5.6,-20.39,-8.35,-18.84,-10.25,-12.69,-17.63,-9.83,-8.21,-10.8,-11.33
 BATATA-INGLESA,-10.66,-10.48,-13.07,-7.41,-1.09,-12.82,-0.06,-15.89,-0.31,-16.71,-12.34,-12.27,-20.12,-5.76,-0.63,-9.14,-8.42
 INHAME,       -,       -,       -,1.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.18,1.15
 MANDIOCA (AIPIM),       -,-0.42,       -,1.96,       -,       -,       -,       -,       -,       -,       -,5.4,-0.74,       -,       -,-2.7,0.9
 ABÓBORA,-20.83,       -,-18.86,       -,       -,-5.91,       -,       -,       -,       -,-4.38,       -,       -,       -,       -,       -,-15.66
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,-7,       -,       -,       -,       -,       -,       -,       -,-7.0
 QUIABO,       -,       -,2.93,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.93
 TOMATE,-19.42,-13.5,-20.01,-21.07,-14.31,-16.16,-13.44,-28.48,-10.16,-24.85,-5.51,-22.71,-19.66,-18.03,-9.18,-22.83,-16.17
 CEBOLA,-12.68,-5.54,-9.16,-18.59,-6.2,-13.73,-1.39,-20.47,-11.57,-14.47,-12.19,-7.72,-19.57,-2.62,-9.12,-3.56,-9.89
 CENOURA,-12.46,       -,-15.01,       -,-14.93,-22.87,       -,-15.7,-14.18,-22.9,-18.76,-8.86,       -,       -,       -,-11.37,-15.71
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-3.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.86
 AÇÚCARES E DERIVADOS,3.82,0.01,0.32,1.69,0.68,-0.28,0.57,0.42,4.34,1.03,0.91,0.85,-0.92,1.83,-1.14,0.58,1.16
 AÇÚCAR REFINADO,6.24,1.29,       -,       -,5.45,       -,2.42,-0.3,       -,2.74,       -,       -,       -,7.7,-2.55,-1.96,3.87
 AÇÚCAR CRISTAL,0.52,-0.44,0.76,3.47,-0.12,0.24,-1.48,0.69,6.65,0.46,1.17,1.2,-0.88,1.36,-0.07,1.91,1.35
 BALAS,       -,0.33,       -,       -,       -,       -,       -,       -,       -,-1.01,       -,       -,       -,       -,       -,       -,-0.4
 CHOCOLATE EM BARRA E BOMBOM,2.79,1.2,-2.6,-5.45,-0.56,-2.48,2.34,       -,-0.55,2.42,-0.74,-0.01,-0.11,0.54,       -,-1.95,0.03
 SORVETE,4.14,-1.88,1.75,0.18,1.02,0.75,       -,1.68,0.24,-0.16,2.34,0.23,-1.26,       -,0.22,1.17,0.98
 CHOCOLATE E ACHOCOLATADO EM PÓ,2.88,-0.36,0.47,1.26,-1.2,-1.19,2.89,1.11,-1.18,2.11,-0.61,0.56,-1.19,-1.34,-1.82,-1.06,0.18
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,0.16,       -,-0.13,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 HORTALIÇAS E VERDURAS,-5.78,-8.63,-2.02,-5.55,-5.23,0.07,-2.17,2.09,-3.4,-12.54,-2.23,-4.36,-6.28,-2.84,-2.8,-9.27,-5.05
 ALFACE,-1.98,-3.64,1.35,-3.98,-5.22,2.49,-2.62,1.82,1.55,-16.13,-0.35,1.17,0.51,-0.38,-3.71,-5.5,-4.1
 COENTRO,       -,       -,       -,-6.02,       -,       -,       -,       -,0.96,       -,       -,       -,       -,       -,       -,-8.88,-3.11
 COUVE,-1.16,       -,-1.89,       -,-13.75,0.82,       -,       -,       -,-15.31,-0.22,0.89,       -,       -,       -,       -,-7.52
 COUVE-FLOR,-9.02,-17.05,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.43,       -,       -,       -,       -,-12.18
 REPOLHO,-17.47,-13.21,-16.99,-7.04,-1.35,-10.81,-4.98,       -,-16.69,-7.59,-7.51,-28.26,-25.82,-13.85,       -,-13.88,-10.86
 CHEIRO-VERDE,-4.43,       -,       -,       -,-4.83,-1.08,-1.03,2.13,-1.68,       -,       -,-0.36,-3.97,-0.62,-2.29,       -,-1.9
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.85,       -,       -,       -,7.85
 BRÓCOLIS,-7.47,-12.03,0.33,       -,1.04,5,       -,       -,       -,-1.73,       -,       -,       -,       -,       -,       -,-3.36
 FRUTAS,-1.95,-1.13,-1.41,-2.62,-3.27,-1.11,0.71,-5.56,-0.85,-0.59,2.81,-2.84,1.13,1.28,1.98,-2.95,-1.79
 BANANA-DA-TERRA,       -,       -,       -,-2.19,       -,       -,       -,       -,4.72,       -,       -,1.7,       -,0.04,       -,       -,1.65
 ABACAXI,-8.15,-3.77,-2.02,-9.38,4.03,       -,       -,       -,       -,-2.57,4.82,       -,-6.46,       -,       -,-8.85,-2.3
 ABACATE,       -,       -,       -,       -,       -,       -,1.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.59
 BANANA-D'ÁGUA,10.47,19.54,       -,       -,5.04,13.95,       -,       -,       -,11.6,       -,       -,11.54,       -,       -,       -,9.04
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.08,       -,11.25,       -,       -,       -,6.36
 BANANA-PRATA,2.96,9.9,12.78,-10.12,2.1,7.58,1.21,-7.12,-1.51,-2.52,3.9,0.79,       -,-0.07,4.36,0.17,1.95
 LARANJA-BAÍA,       -,-1.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.01
 LIMÃO,       -,       -,       -,       -,       -,       -,4.16,       -,       -,       -,       -,       -,       -,       -,13.32,       -,6.16
 MAÇÃ,2.37,2.26,1.99,-1.69,-0.23,2.42,0.29,0.18,2.18,-1.01,3.51,3.8,2.82,5.32,2.58,-1.79,1.0
 MAMÃO,-20.45,-22.24,-31.48,-6.83,-21.27,-26.24,4.68,-5.51,-7.63,-8.42,       -,-21.81,-27.31,       -,-5.61,-7.5,-18.95
 MANGA,-11.38,       -,       -,-0.91,       -,-6.64,       -,       -,       -,       -,       -,-8.04,       -,       -,       -,-9.58,-7.27
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-9.96,-1.05,       -,       -,       -,       -,       -,       -,-5.25,-4.06
 MELANCIA,       -,       -,10.21,-7.52,-4.65,3.67,1.75,1.22,-5.04,0.95,0.36,       -,0.5,-2.23,2.67,6.23,-1.27
 PÊRA,3.96,       -,       -,       -,-0.32,5.04,       -,       -,       -,       -,3.92,-1.61,       -,       -,       -,       -,1.44
 TANGERINA,       -,-1.15,       -,       -,1.85,       -,       -,       -,       -,       -,       -,0.34,       -,       -,       -,       -,-1.02
 UVA,-3.29,       -,-5.98,-4.41,-9.8,0.81,-5.46,-9.6,-0.68,1.88,-5.9,-9.09,-9.07,-1.79,-12.24,-5.66,-6.31
 LARANJA-PERA,1.26,       -,6.41,15.6,0.39,3.49,-2.14,-3.55,0.35,-3.22,3.92,-2.2,6.44,8.28,1.02,-2.47,1.78
 MORANGO,       -,-18.4,-15.5,       -,       -,       -,       -,       -,       -,-20.66,       -,       -,       -,       -,       -,       -,-18.06
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-12.13,       -,       -,       -,       -,       -,       -,       -,       -,-12.13
 CARNES,1.07,1.31,-0.09,-0.61,0.45,-0.13,-1.47,0.93,0.44,-0.33,0.96,0.14,-1.89,0.89,0.72,0.48,0.25
 FÍGADO,       -,       -,       -,0.53,       -,       -,2.04,-1.53,1.68,       -,       -,       -,       -,       -,2.41,0.85,1.35
 CARNE DE PORCO,-1.02,0.08,-1.11,0.45,-2.66,0.88,1.72,0.41,0.91,-2.9,-1.57,-1.17,1.3,0.07,1.83,0.91,-1.38
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,1.63,-0.61,       -,       -,       -,       -,       -,       -,       -,0.09
 CONTRAFILÉ,4.65,-0.04,-0.39,-2.53,-1.07,-1.53,-3.4,0.2,-1.24,0.4,1.27,1.37,-2.05,2.24,-1.05,0.2,0.02
 FILÉ-MIGNON,3.06,       -,       -,3.18,       -,       -,0.33,       -,3.08,6.85,-1.25,       -,0.02,       -,       -,       -,2.95
 CHÃ DE DENTRO,-2.13,2.49,2.2,3.06,0.69,0.35,-1.78,0.2,-0.02,1.74,0.74,1.85,-1.34,-0.47,3.01,2.91,0.71
 ALCATRA,4.77,1.34,-0.59,-0.85,0.84,1.02,-0.38,1.2,1.05,0.95,0.61,0.43,-2.66,1.92,-0.17,-0.4,0.78
 PATINHO,-1.87,2.17,0.34,-5.07,-1.31,1.06,-1.7,1.07,0,1.15,0.31,-1.17,-2.6,1.09,-1.75,2.82,-0.58
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-2.14,       -,0.68,       -,       -,       -,       -,       -,       -,       -,-1.23
 LAGARTO COMUM,       -,       -,       -,       -,0.46,-0.47,       -,-0.48,0.34,       -,1.8,       -,-2.97,0.6,       -,1.21,0.36
 MÚSCULO,1.42,-1.06,1.14,-4.34,3.46,       -,-5.7,       -,1.39,0.82,-0.35,-0.43,-2.67,0.25,-3.84,0.23,0.75
 PÁ,       -,1.94,       -,2.72,3.94,1.83,-1.22,       -,2.92,-3.07,       -,       -,-2.81,0.96,-4.12,-1.35,1.23
 ACÉM,-1.89,4.68,1.14,0.22,2.24,-1.93,0.28,5.25,-3.86,-3.66,2.1,0.68,-1.28,0.89,5.22,-2.67,0.95
 PEITO,       -,       -,       -,       -,       -,       -,-3.81,1.51,2.97,       -,1.48,       -,-4.07,0.31,1.82,-3.42,-0.23
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.8,0.89,       -,       -,-0.59
 COSTELA,-3.83,1.46,-1.14,-0.7,-0.54,-0.67,-2.96,-0.91,0.93,-2.17,2.28,-0.74,-2.28,0.05,2.28,1.03,-0.39
 PESCADOS,0.47,-2.06,0.2,-0.99,2.67,0.4,0.66,1.06,-3.76,0.01,-1.05,3.18,1.59,-1.89,3.61,0.31,0.42
 PEIXE-ANCHOVA,5.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.5
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.82,       -,       -,       -,       -,-0.82
 PEIXE-CORVINA,3.55,       -,       -,-1.9,       -,       -,       -,       -,-8.73,       -,       -,       -,       -,       -,       -,-1.96,-4.02
 PEIXE-CAVALINHA,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.75
 PEIXE,       -,-2.06,0.2,       -,       -,0.4,       -,       -,       -,0.01,-1.05,       -,       -,       -,       -,       -,-0.57
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.43,       -,0.43
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.17,-4.17
 PEIXE-SARDINHA,       -,       -,       -,-1.9,4.86,       -,       -,       -,-4.22,       -,       -,       -,-2.11,       -,       -,-2.08,1.95
 CAMARÃO,0.78,       -,       -,-0.98,       -,       -,1.26,       -,-1.03,       -,       -,1.43,1.59,       -,2.1,1.88,0.59
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-2.41,       -,       -,       -,       -,       -,       -,       -,-2.41
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-0.33,1.41,       -,       -,       -,       -,       -,       -,       -,0.69
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.49,       -,       -,       -,1.49
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,10.79,       -,       -,       -,       -,10.79
 PEIXE-CAÇÃO,0.47,       -,       -,       -,-1.49,       -,       -,       -,       -,       -,       -,1.2,       -,       -,       -,       -,-0.58
 PEIXE-MERLUZA,4.46,       -,       -,2.58,2.67,       -,       -,       -,-0.32,       -,       -,       -,2.33,       -,       -,       -,2.98
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,-1.82,2.16,       -,       -,       -,       -,       -,       -,-1.3,       -,-0.51
 PEIXE-PESCADA,-11.68,       -,       -,-3.54,5.17,       -,0.74,       -,-2.4,       -,       -,7.05,       -,       -,4.51,-0.14,1.18
 CARANGUEJO,       -,       -,       -,       -,       -,       -,-9.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,-9.34
 PEIXE-CASTANHA,       -,       -,       -,-0.99,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.99
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.89,       -,       -,-1.89
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.95,       -,       -,-0.95
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.92,-2.92
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-5.36,15.6,       -,11.41
 PEIXE-SALMÃO,       -,       -,       -,       -,-5.63,       -,       -,1.06,       -,       -,       -,       -,1.59,       -,       -,       -,-4.04
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,1.11,       -,       -,       -,       -,       -,       -,       -,-1.68,1.04
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.66
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,-0.03,       -,0.02
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,5.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.01
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.1,       -,       -,       -,       -,-0.1
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.7,       -,       -,       -,4.7
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.89,       -,       -,-1.89
 CARNES E PEIXES INDUSTRIALIZADOS,-0.28,-0.15,-0.74,0.83,-0.97,-1.7,0.47,1.67,-2.86,0.14,0.18,-0.1,-0.42,0.84,-1.34,-1.18,-0.62
 PRESUNTO,-0.56,-1.66,2.56,       -,-2.72,-0.79,-0.2,-2.81,0.79,-0.03,-0.41,0.62,-1.6,0.98,       -,-1.24,-0.95
 SALSICHA,0.46,0.25,-4.81,-1.04,-0.68,-1.31,-2.34,       -,       -,-0.86,0.74,-1.52,2.11,1.02,-0.28,-0.55,-0.67
 LINGUIÇA,-1.03,-0.66,-1.39,-0.96,-1,-1.3,-1.69,2.05,-3.19,1.17,0.42,-0.01,-1.58,0.36,-1.26,-1.54,-0.87
 MORTADELA,0.85,1.84,-2.96,-0.21,0.96,       -,2.23,2.74,       -,-0.9,       -,-3.27,3.03,2.36,       -,-0.25,0.51
 SALAME,       -,-0.65,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.65
 CARNE-SECA E DE SOL,-0.2,       -,       -,1.63,       -,       -,1.63,2.03,-3.4,       -,       -,2.04,       -,-0.29,-2.03,-1.35,-0.59
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,2.04,       -,       -,       -,       -,       -,-0.82,       -,       -,       -,       -,       -,       -,       -,0.57
 HAMBÚRGUER,       -,       -,       -,       -,       -,-4.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.66
 AVES E OVOS,-0.31,0.5,-0.05,0.89,-0.25,0.23,-0.4,-2.56,-4.12,-1.09,0.82,-1.01,0.08,0.17,-1.32,-0.55,-0.61
 FRANGO INTEIRO,-1.96,-0.75,-1.38,1.23,-2.29,0.49,-0.38,-3.28,-5.45,-0.77,0.92,-2.65,-0.2,0.45,-2.01,-0.29,-1.57
 FRANGO EM PEDAÇOS,-0.26,1.46,1.44,1.01,0.61,-1.1,-0.2,-0.12,-0.73,-1.24,1.57,1.48,0.1,0.19,2.72,-0.36,0.38
 OVO DE GALINHA,1.22,-0.73,0.01,-0.62,0.56,1.89,-0.57,-1.21,-5.75,-1.19,-0.1,0.09,0.42,-0.68,-2.24,-1.65,-0.3
 LEITE E DERIVADOS,-0.87,1.24,1.33,-0.82,1.68,2.42,-0.42,-1.12,-0.03,-0.47,1.19,2.39,-0.04,0.5,1.53,-0.82,0.64
 LEITE LONGA VIDA,-0.24,2.19,2.71,-1.52,2.66,3.66,0.3,-2.53,0.71,-0.55,2.43,3.33,0.31,0.33,3.92,-0.13,1.58
 LEITE CONDENSADO,       -,-0.32,       -,       -,       -,       -,-1.24,0.08,       -,       -,       -,       -,0.41,-0.69,       -,       -,-0.46
 LEITE EM PÓ,-0.15,0.53,       -,-0.83,0.75,       -,-0.73,-0.77,0.3,-1.81,0.25,-1.05,0.74,1.06,0.33,-1.12,-0.24
 QUEIJO,-1.75,-0.01,-0.7,-1.05,0.59,1.19,0.96,-0.34,-1.91,-0.3,-1.23,1.1,-1.12,-0.25,0.73,-2.13,-0.34
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,-1.52,       -,       -,       -,       -,       -,       -,       -,       -,-1.52
 IOGURTE E BEBIDAS LÁCTEAS,-1.84,0.56,-0.72,1.09,0.31,0.5,-0.43,2.3,0.38,0.13,-1.7,2.03,0.07,0.58,0.38,2.05,0.1
 MANTEIGA,       -,       -,       -,-0.59,       -,       -,-2.31,-0.85,-0.05,       -,       -,4.11,       -,0.93,       -,-2.69,-0.46
 PANIFICADOS,-0.97,0.61,-0.93,-0.26,0.06,-0.64,0.8,-0.16,2.32,-0.08,0.92,-1.07,-0.12,-0.15,-0.02,1.91,0.03
 BISCOITO,-2.36,2.13,-0.29,0.22,0.14,-0.82,0.93,-0.1,1.83,0.94,0.84,-1.02,0.28,-0.09,-2.01,0.89,0.23
 PÃO FRANCÊS,-0.58,-0.26,-1.27,-0.63,-0.2,-0.53,0.87,-0.21,3.13,-0.25,1.36,-0.84,0.22,0,0.96,2.86,0.01
 PÃO DOCE,0.73,3.07,-2.13,       -,1,0.07,1.38,0.17,-2.96,1.89,       -,-2.75,-1,       -,       -,-3.48,0.43
 PÃO DE FORMA,-0.8,-0.67,-1.9,       -,1.56,1.09,       -,       -,       -,-1.29,1.31,1.23,-1.99,       -,       -,       -,0.16
 BOLO,-2.48,-0.59,-0.15,1.57,-0.92,-1.57,-1.35,-0.05,-0.73,-1.86,-0.43,-3.97,-2.7,-2.29,-2.5,-1.38,-1.05
 PÃO DE QUEIJO,       -,       -,1.1,       -,       -,-2.24,       -,       -,       -,       -,-1.43,       -,       -,       -,       -,       -,-0.04
 ÓLEOS E GORDURAS,2.84,1.31,2.09,-0.45,2.98,1.62,4.39,1.24,0.91,6.32,5.3,3.89,2.86,2.93,0.33,2.08,2.69
 ÓLEO DE SOJA,5.97,2.07,3.78,-0.09,6.73,4.91,7.78,1.82,1.44,9.92,6.58,7.87,3.87,4.18,0.78,3.79,5.03
 AZEITE DE OLIVA,-2.45,       -,       -,       -,-2.02,       -,       -,       -,       -,       -,       -,-3.45,       -,       -,       -,       -,-2.23
 MARGARINA,2.39,-0.22,-2.1,-0.73,-0.79,-1.83,-0.86,0.63,0.2,0.23,0.42,-0.51,0.52,-0.57,-0.5,-0.2,-0.2
 BEBIDAS E INFUSÕES,-1.38,-0.61,-0.53,-0.43,-0.12,0.25,-3.14,-0.16,-0.14,0.45,-0.51,0.21,-0.23,0.41,-0.94,0.2,-0.51
 SUCO DE FRUTAS,-2.9,-0.13,-2.6,-0.18,-0.12,0.23,0.23,0.41,-0.51,1.15,-0.65,-0.5,-1.1,-0.1,0.42,0.08,-0.55
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-11.66,       -,       -,       -,       -,       -,       -,2.44,       -,       -,-11.48
 CAFÉ MOÍDO,-2.19,-1.23,-0.45,-3.11,-2.54,0.32,-2.42,-1.26,-1.46,-0.85,-1.12,-1.6,-0.23,0.16,-2,-1.13,-1.67
 CAFÉ SOLÚVEL,       -,-0.33,       -,0.54,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.16,0.02
 CHÁ,       -,-0.3,       -,       -,       -,       -,       -,       -,       -,0.45,       -,       -,-0.9,       -,       -,       -,-0.18
 REFRIGERANTE E ÁGUA MINERAL,-1.9,-0.46,-0.16,-0.37,1.29,0.41,1.04,0.34,1,0.27,-0.12,1.17,-1.07,-0.15,-0.74,-0.54,0.25
 CERVEJA,0.26,-1.53,-0.58,1.09,-0.89,-0.07,0.34,-0.07,-0.69,2.57,-0.77,0.74,1.33,1.29,-0.5,1.07,-0.27
 OUTRAS BEBIDAS ALCOÓLICAS,-0.66,0.81,-0.61,0.85,1.31,0.43,4.93,0.28,0.75,-1.93,-0.3,0.53,       -,       -,       -,2.03,0.33
 ENLATADOS E CONSERVAS,0.35,1.33,1.47,0.72,-0.62,1.3,-2.43,-0.24,1.22,1.24,0.62,0.71,0.36,0.71,-1.17,0.07,0.2
 COCO RALADO,       -,       -,       -,       -,1.89,-0.21,       -,       -,       -,2.61,       -,       -,-0.39,       -,       -,       -,1.84
 ERVILHA EM CONSERVA,2.19,3.08,       -,       -,       -,2.22,       -,       -,1.91,       -,       -,       -,1.68,       -,       -,1.46,2.54
 PALMITO EM CONSERVA,0.34,       -,1.82,       -,-1.71,       -,       -,       -,       -,0.53,0.96,-0.97,       -,       -,       -,       -,-0.54
 PEPINO EM CONSERVA,       -,0.24,       -,       -,       -,       -,       -,       -,       -,0.1,       -,       -,0.36,       -,       -,       -,0.2
 SARDINHA EM CONSERVA,-2.53,-0.4,0.96,1.11,-2.84,       -,-5.82,-0.85,2.09,1.56,0.56,1.09,-1.23,1.17,-1.84,-0.35,-1.31
 SALSICHA EM CONSERVA,       -,       -,       -,0.03,       -,-2.01,0.72,-1.62,       -,       -,       -,       -,       -,1.2,       -,-0.23,-0.16
 CARNE EM CONSERVA,       -,       -,       -,0.06,       -,       -,-0.72,1.42,       -,       -,       -,       -,       -,-0.43,-0.4,-0.19,-0.15
 PATÊ,-1.94,3.31,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.0
 SOPA DESIDRATADA,       -,2.61,2.34,       -,-0.06,2.02,       -,       -,       -,       -,-0.25,-1.22,       -,0.56,       -,       -,1.01
 AZEITONA,0.95,       -,0.63,0.8,1.41,0.19,-1.06,       -,-0.75,1.5,0.92,-0.37,1.04,       -,       -,       -,0.96
 MILHO-VERDE EM CONSERVA,4.13,0.77,3.78,1.89,1.04,2.29,0.36,3,1.49,0.93,0.41,4.26,3.01,1.65,3.44,1.53,1.9
 ATUM EM CONSERVA,1.38,0.94,-0.72,       -,-2.12,3.08,       -,-0.33,0.87,0.95,       -,       -,       -,       -,       -,       -,-0.36
 SAL E CONDIMENTOS,-1.54,0.89,2.66,-0.77,-0.22,1.12,0.14,0.95,-0.52,0.74,-0.33,0.84,0.55,0.24,0.15,-0.41,0.22
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-2.1,       -,       -,       -,       -,       -,       -,       -,-2.1
 ATOMATADO,-0.13,0.09,2.39,0.19,0.69,1.68,0.67,-0.91,1.29,0.72,-0.43,-0.64,-0.49,0.89,-0.44,-0.85,0.68
 ALHO,-3.52,       -,4.09,1.97,-0.53,2.95,2.98,2.95,3,-0.4,-0.87,2.15,1.3,-0.91,0,0.02,0.37
