"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-1.1,0.0,0.0,2.9,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,-0.66
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,3.04
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,2.23,0.0,2.13
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,1.11
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.16,0.0,0.0,0.0,-4.16
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.73
 CARNES E PEIXES INDUSTRIALIZADOS,1.4,0.09,0.19,6.8,-0.85,0.48,5.57,3.33,9.05,4.58,3.38,4.52,1.82,1.44,5.09,8.36,2.29
 PRESUNTO,2.85,-0.1,0.5,0.0,0.58,-0.13,-2.41,0.21,0.61,2.31,2.33,-3.98,0.2,-2.73,0.0,3.17,0.82
 SALSICHA,0.73,-0.57,0.51,1.53,-0.13,-0.62,-1.68,0.0,0.0,0.45,-0.65,2.38,0.97,-0.29,-2.04,-0.54,-0.05
 LINGUIÇA,-2.74,0.36,-0.46,1.78,-1.27,0.32,4.01,2.73,0.83,9.34,5.05,7.16,2.92,4.43,3.53,-2.66,0.65
 MORTADELA,-0.24,0.94,1.09,-0.89,-2.23,0.0,1.41,-1.66,0.0,0.45,0.0,3.08,0.78,-0.39,0.0,0.17,-0.51
 SALAME,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
 CARNE-SECA E DE SOL,9.5,0.0,0.0,9.73,0.0,0.0,9.57,10.07,13.82,0.0,0.0,8.63,0.0,3.6,11.42,19.51,11.43
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88
 AVES E OVOS,3.34,5.01,6.09,3.07,4.66,6.51,4.41,3.5,4.41,6.57,5.62,4.9,3.67,3.06,2.8,2.27,4.48
 FRANGO INTEIRO,4.29,1.96,4.63,4.35,5.78,11.19,4.63,4.57,4.41,13.53,5.63,4.84,4.56,3.56,3.68,3.89,5.08
 FRANGO EM PEDAÇOS,3.13,7.0,6.94,0.88,2.22,1.06,5.79,1.57,1.94,4.79,4.01,2.93,2.87,2.82,0.58,0.72,3.55
 OVO DE GALINHA,2.93,2.7,7.38,1.32,8.05,6.6,2.76,0.75,10.66,0.98,6.87,7.43,3.92,1.77,1.47,1.92,4.85
 LEITE E DERIVADOS,0.61,0.44,-0.83,0.37,0.48,-0.31,-0.81,-0.24,-0.41,1.38,-1.32,-0.13,1.84,0.82,0.02,-1.13,0.18
 LEITE LONGA VIDA,1.58,1.21,-0.56,-1.28,0.34,-0.33,-1.37,-0.4,-1.46,2.5,-3.04,-0.74,2.57,0.17,2.03,-2.82,0.3
 LEITE CONDENSADO,0.0,-1.84,0.0,0.0,0.0,0.0,1.78,0.22,0.0,0.0,0.0,0.0,1.83,2.78,0.0,0.0,-0.03
 LEITE EM PÓ,1.45,1.1,0.0,0.45,1.6,0.0,-1.05,-0.08,-0.15,-0.51,1.16,-0.12,-0.38,1.45,-1.22,-0.09,0.15
 QUEIJO,-0.42,-0.9,-0.08,1.28,1.04,-0.79,-1.62,-0.85,0.32,1.06,2.38,0.06,0.65,1.41,-0.01,-0.43,0.35
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5
 IOGURTE E BEBIDAS LÁCTEAS,-1.58,0.6,-3.84,1.09,-0.5,0.32,0.83,0.89,0.79,-2.38,1.3,0.16,2.44,1.26,-0.54,-1.75,-0.63
 MANTEIGA,0.0,0.0,0.0,-1.68,0.0,0.0,-0.42,0.92,-0.59,0.0,0.0,2.87,0.0,0.56,0.0,0.2,-0.16
 PANIFICADOS,-0.01,0.12,0.43,2.72,-1.98,-0.6,0.36,-0.26,1.3,1.52,0.53,0.49,0.72,-0.4,0.07,-0.85,-0.15
 BISCOITO,-0.31,0.22,1.22,1.07,2.09,0.5,0.49,-0.62,0.87,1.75,0.68,-0.5,-0.29,0.48,0.81,0.29,0.91
 PÃO FRANCÊS,0.03,-1.15,-0.27,3.64,-3.78,-0.49,0.36,-0.18,1.77,2.23,0.83,0.51,1.34,-0.6,-0.41,-1.65,-0.68
 PÃO DOCE,2.74,1.51,1.85,0.0,-0.81,-0.26,-1.04,-0.7,-1.72,-1.98,0.0,1.07,-1.19,0.0,0.0,2.99,0.0
 PÃO DE FORMA,-0.93,2.81,-0.32,0.0,-0.96,-0.81,0.0,0.0,0.0,0.33,-0.27,2.38,1.71,0.0,0.0,0.0,-0.14
 BOLO,0.41,2.45,1.63,1.42,0.45,1.13,0.81,0.5,0.38,0.46,1.2,0.83,-0.84,-1.17,1.92,1.38,0.9
 PÃO DE QUEIJO,0.0,0.0,2.14,0.0,0.0,-4.69,0.0,0.0,0.0,0.0,-1.76,0.0,0.0,0.0,0.0,0.0,0.08
 ÓLEOS E GORDURAS,1.01,1.08,2.58,1.25,1.2,1.57,2.88,-1.04,1.84,-0.14,2.1,1.14,0.94,2.12,1.44,-0.44,1.33
 ÓLEO DE SOJA,3.5,0.22,3.93,1.68,1.62,2.1,4.74,-0.66,2.08,2.24,2.51,1.58,1.58,1.64,1.86,0.66,2.25
 AZEITE DE OLIVA,2.04,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.93
 MARGARINA,-2.06,2.87,-1.1,0.9,0.09,0.96,-0.42,-1.47,1.48,-4.72,0.42,0.2,-0.65,3.55,0.66,-2.11,-0.38
 BEBIDAS E INFUSÕES,-0.65,-0.17,0.27,0.85,-0.69,0.51,0.13,-0.11,-0.04,0.1,0.0,0.63,-1.19,-0.27,-0.38,-0.39,-0.23
 SUCO DE FRUTAS,0.04,0.24,-0.46,-0.5,-1.16,-1.93,-1.26,0.63,0.26,-0.41,0.03,1.32,0.38,-0.65,1.52,0.51,-0.54
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
 CAFÉ MOÍDO,1.19,-2.99,1.53,-1.6,0.09,2.79,-0.4,-0.92,-1.1,-0.71,1.95,0.54,-1.48,-1.17,-0.89,-2.98,0.0
 CAFÉ SOLÚVEL,0.0,-1.49,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,-0.88
 CHÁ,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-1.72,0.0,0.0,0.0,0.26
 REFRIGERANTE E ÁGUA MINERAL,-1.32,-0.86,0.36,2.13,0.2,1.61,-0.47,0.11,0.7,-0.66,-0.76,0.83,-0.86,-0.06,-0.48,-0.39,-0.08
 CERVEJA,-1.49,2.18,-1.11,0.17,-2.59,-1.79,-0.56,0.68,0.32,2.53,-0.17,0.31,-1.77,-0.04,-0.48,-0.03,-0.77
 OUTRAS BEBIDAS ALCOÓLICAS,0.04,-0.6,0.89,0.44,-0.24,0.74,-1.43,-0.66,-2.22,-0.44,-0.5,0.1,0.0,0.0,0.0,-2.44,-0.29
 ENLATADOS E CONSERVAS,1.57,0.13,-0.43,-0.25,-0.33,1.14,0.18,-0.13,0.28,-0.27,1.57,0.53,0.87,0.11,0.23,0.2,0.08
 COCO RALADO,0.0,0.0,0.0,0.0,1.16,-0.91,0.0,0.0,0.0,-2.4,0.0,0.0,-0.53,0.0,0.0,0.0,-0.06
 ERVILHA EM CONSERVA,1.15,3.98,0.0,0.0,0.0,-2.24,0.0,0.0,1.98,0.0,0.0,0.0,0.12,0.0,0.0,2.72,2.37
 PALMITO EM CONSERVA,1.43,0.0,-1.32,0.0,-1.75,0.0,0.0,0.0,0.0,2.01,-0.46,1.96,0.0,0.0,0.0,0.0,-0.59
 PEPINO EM CONSERVA,0.0,-1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14,0.0,0.0,0.87,0.0,0.0,0.0,-1.65
 SARDINHA EM CONSERVA,3.53,-0.26,-1.41,-1.4,-2.47,0.0,0.21,0.17,-1.7,1.05,1.56,0.13,0.42,-0.35,-0.11,-0.91,-0.54
 SALSICHA EM CONSERVA,0.0,0.0,0.0,-0.58,0.0,1.04,-0.41,-0.05,0.0,0.0,0.0,0.0,0.0,1.84,0.0,-0.13,-0.15
