"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 MANDIOCA (AIPIM),       -,-0.66,       -,-2.78,       -,       -,       -,       -,       -,       -,       -,1.65,-2.21,       -,       -,4.56,-1.34
 ABÓBORA,-7.69,       -,2.07,       -,       -,11.88,       -,       -,       -,       -,0.28,       -,       -,       -,       -,       -,-1.01
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,12.97,       -,       -,       -,       -,       -,       -,       -,12.97
 QUIABO,       -,       -,-8.3,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-8.29
 TOMATE,34.09,32.98,23.87,42.3,25.89,14.94,27.66,45.01,44.51,44.4,20.06,35.92,62.95,15.2,27.2,50.75,31.84
 CEBOLA,10.33,15.63,11.36,-5.18,2.29,9.65,-0.04,-2.92,-0.72,16.88,10.42,12.48,14.05,-0.3,5.29,-1.46,5.38
 CENOURA,5.24,       -,-0.53,       -,1.25,6.54,       -,4.81,7.55,15.77,-0.53,6.43,       -,       -,       -,5.57,4.07
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,4.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.68
 AÇÚCARES E DERIVADOS,-0.27,0.44,0.12,-1.77,-3.28,0.57,-0.1,1.61,-0.09,-0.62,-0.23,-1.32,-1.53,1.47,0.12,-0.73,-1.02
 AÇÚCAR REFINADO,1.25,-1.87,       -,       -,-4.43,       -,-1.59,3.28,       -,-2.09,       -,       -,       -,-2.6,1.02,-1.89,-1.18
 AÇÚCAR CRISTAL,2.69,0.45,-0.03,-1.37,-6.78,1.62,0.9,0.77,1.25,-2.45,-0.53,-1.91,-1.22,3.01,-0.45,-0.03,-1.0
 BALAS,       -,-0.37,       -,       -,       -,       -,       -,       -,       -,2,       -,       -,       -,       -,       -,       -,0.94
 CHOCOLATE EM BARRA E BOMBOM,-7.27,-1.12,-0.22,-7.89,-4.88,-3.57,-1.55,       -,-5.52,-2.53,-1.17,-1.93,-2.32,0.72,       -,-2.23,-3.59
 SORVETE,-0.41,4.45,1.25,0.99,-0.74,0.54,       -,0.19,1.24,2.73,0.98,-0.79,-1.68,       -,-3.36,-2.28,0.51
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.26,1.25,-0.14,-1.96,-0.22,2.1,0.09,0.17,-3.53,-0.69,-0.11,1.28,-1.48,-0.37,2.03,-0.52,-0.21
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,1.87,       -,-1.55,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.03
 HORTALIÇAS E VERDURAS,6.58,2.57,13.05,4.07,5.75,3.99,1.67,4.66,6.05,3.67,8.41,4.51,13.78,2.9,14.52,11.46,6.08
 ALFACE,7.22,-4.67,14.29,10.69,4.22,3.12,-1.23,4.32,14.35,-0.11,4.22,2.2,14.08,-1.4,14.72,10.56,4.77
 COENTRO,       -,       -,       -,-0.04,       -,       -,       -,       -,-1.71,       -,       -,       -,       -,       -,       -,14.01,0.34
 COUVE,4.42,       -,5.37,       -,1.39,0.51,       -,       -,       -,3.54,4.02,-1.17,       -,       -,       -,       -,2.84
 COUVE-FLOR,9.46,0.66,       -,       -,       -,       -,       -,       -,       -,       -,       -,18.03,       -,       -,       -,       -,6.11
 REPOLHO,12.61,16.74,17.41,7.74,21.33,16.42,6.15,       -,6.64,17.18,18.04,9.3,19.69,20.42,       -,7.05,15.36
 CHEIRO-VERDE,9.52,       -,       -,       -,3.87,1.94,1.42,4.71,4.62,       -,       -,3.2,6.17,0.3,14.41,       -,5.02
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.05,       -,       -,       -,4.05
 BRÓCOLIS,-1.76,12.32,15.4,       -,9.36,0.82,       -,       -,       -,4.16,       -,       -,       -,       -,       -,       -,6.74
 FRUTAS,3.53,7.06,2.14,2.71,3.4,9.19,3.13,3.85,2.6,7.21,-2.6,5.45,8.19,-1.87,6.45,7.98,4.26
 BANANA-DA-TERRA,       -,       -,       -,-7.66,       -,       -,       -,       -,2.7,       -,       -,6.34,       -,2.08,       -,       -,-1.5
 ABACAXI,-11.08,-11.84,-8.82,-14.97,-7.86,       -,       -,       -,       -,-21.24,-13.03,       -,-1.12,       -,       -,-1.29,-11.02
 ABACATE,       -,       -,       -,       -,       -,       -,-11.58,       -,       -,       -,       -,       -,       -,       -,       -,       -,-11.58
 BANANA-D'ÁGUA,6.65,16.59,       -,       -,9.2,11.97,       -,       -,       -,27.75,       -,       -,38.94,       -,       -,       -,13.13
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.76,       -,-2.39,       -,       -,       -,-2.67
 BANANA-PRATA,3.07,9.69,7.54,1.86,2.04,11.4,3.16,3.87,5.54,14.32,-1.16,3.58,       -,0.67,9.07,14.37,4.86
 LARANJA-BAÍA,       -,-1.19,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.19
 LIMÃO,       -,       -,       -,       -,       -,       -,-13.22,       -,       -,       -,       -,       -,       -,       -,10.6,       -,-7.52
 MAÇÃ,-9.25,-2.98,-15.97,-4.36,-4.25,-1.95,-1.38,-7.42,-5.91,-7.84,1.74,-5.83,-4.6,-5.2,2.25,1.4,-6.29
 MAMÃO,22.79,19.57,33.69,-2.28,13.74,23.16,35.53,4.86,-4.23,39.94,       -,29.24,20.28,       -,20.11,6.33,18.52
 MANGA,23.33,       -,       -,18.5,       -,22.66,       -,       -,       -,       -,       -,22.28,       -,       -,       -,12.08,21.21
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,32.44,9.33,       -,       -,       -,       -,       -,       -,20.43,16.7
 MELANCIA,       -,       -,-16.91,8.62,1.15,4.39,3.22,11.01,0.97,-5.18,-6.97,       -,-7.44,-4.86,4.1,5.56,-0.59
 PÊRA,-3.07,       -,       -,       -,-7.44,2.61,       -,       -,       -,       -,2.97,-1.84,       -,       -,       -,       -,-4.71
 TANGERINA,       -,7.06,       -,       -,6.52,       -,       -,       -,       -,       -,       -,5.45,       -,       -,       -,       -,7.02
 UVA,-1.43,       -,-4.36,5.11,-3.35,1.93,2.11,-3.47,-3.51,-1.36,-9.16,1.03,0.97,-1.87,7.56,0.39,-2.17
 LARANJA-PERA,8.75,       -,7.74,14.68,7.45,9.03,0.15,10.22,11.17,4.16,-0.99,4.14,8.59,2.35,2.45,12.23,7.57
 MORANGO,       -,6.33,7.45,       -,       -,       -,       -,       -,       -,1.79,       -,       -,       -,       -,       -,       -,5.31
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-5.9,       -,       -,       -,       -,       -,       -,       -,       -,-5.9
 CARNES,-0.29,1.52,0.42,-1.18,1.24,1.62,0.3,1.58,-0.16,-0.32,0.37,1.29,-0.06,-0.2,2.78,0.56,0.63
 FÍGADO,       -,       -,       -,-4.12,       -,       -,-2.93,5.17,2.16,       -,       -,       -,       -,       -,1.6,1.2,-0.55
 CARNE DE PORCO,-3.56,0.94,1.33,-2.2,2.39,2.76,1.36,1.26,-3.17,-3.18,1.67,4.07,-1.43,2.03,2.78,1.61,0.56
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,-1.28,0.93,       -,       -,       -,       -,       -,       -,       -,0.18
 CONTRAFILÉ,-1.9,-2.44,-2.84,-3.83,-0.34,0.9,0.87,-1.47,2.85,-2.96,-0.84,0.79,-0.91,0.53,0.28,0.06,-1.23
 FILÉ-MIGNON,5.04,       -,       -,-1.09,       -,       -,0.04,       -,-1.27,2.79,1.25,       -,2.09,       -,       -,       -,1.83
 CHÃ DE DENTRO,2.14,-4.76,0.46,-5.97,0.37,0.23,1.42,3.83,1.22,3.94,1.12,3.21,-1.42,0.33,0.58,-0.36,0.48
 ALCATRA,-1.95,-0.24,-0.52,-2.7,1.02,0.42,0.96,-0.35,1.16,-2.66,0.82,0.77,0.63,0.15,0.82,-0.2,-0.17
 PATINHO,5.18,-0.33,-1.5,2.48,2.41,-2.5,0.47,1.25,-2.64,-3.17,0.3,1.23,-1.5,-3.01,0.98,0.46,0.55
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,1.07,       -,-1.23,       -,       -,       -,       -,       -,       -,       -,0.3
 LAGARTO COMUM,       -,       -,       -,       -,2.79,1.91,       -,0.61,4.51,       -,-2.39,       -,1.71,0.5,       -,1.35,2.0
 MÚSCULO,-0.57,6.2,3.48,-2.31,2.91,       -,0.94,       -,-0.56,-3.05,1.04,-1.34,3,1.32,2.66,3.91,1.88
 PÁ,       -,-2.99,       -,0.35,1.27,1.57,-0.3,       -,1.57,2.11,       -,       -,2.41,-0.7,1.32,0.83,0.19
 ACÉM,6.31,-1.91,5.53,-1.22,0.35,-1.18,1.31,4.95,-1.6,-2.73,1.26,3.45,-0.82,-0.2,4.71,-0.84,1.18
 PEITO,       -,       -,       -,       -,       -,       -,-0.94,1.58,-3.87,       -,0.45,       -,2.49,-1.13,4.46,3.1,-0.71
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.98,-0.2,       -,       -,-2.67
 COSTELA,-3.02,6.55,-0.09,2.14,2.75,5.68,-1.93,1.49,-0.96,3.73,0.17,-0.66,0.57,-0.9,7.05,1.17,2.41
 PESCADOS,-0.13,-3.62,-1.38,2.08,-0.99,-5.68,3.5,4.54,-1.57,-1.23,0.55,3.54,0.72,0.42,2.38,1.3,0.73
 PEIXE-ANCHOVA,7.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.43
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.42,       -,       -,       -,       -,2.42
 PEIXE-CORVINA,-2.56,       -,       -,4.69,       -,       -,       -,       -,-1,       -,       -,       -,       -,       -,       -,0.33,-0.17
 PEIXE-CAVALINHA,       -,       -,       -,-2.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.59
 PEIXE,       -,-3.62,-1.38,       -,       -,-5.68,       -,       -,       -,-1.23,0.55,       -,       -,       -,       -,       -,-2.29
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.13,       -,1.13
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.19,4.19
 PEIXE-SARDINHA,       -,       -,       -,-0.98,-4.31,       -,       -,       -,-1.54,       -,       -,       -,0.37,       -,       -,3.76,-3.2
 CAMARÃO,-0.66,       -,       -,2.58,       -,       -,2.02,       -,-2.47,       -,       -,4.42,0.72,       -,3.94,-0.06,0.34
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-4.99,       -,       -,       -,       -,       -,       -,       -,-4.99
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,6.01,0.3,       -,       -,       -,       -,       -,       -,       -,2.6
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.24,       -,       -,       -,-1.24
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.38,       -,       -,       -,       -,2.38
 PEIXE-CAÇÃO,-0.13,       -,       -,       -,2.03,       -,       -,       -,       -,       -,       -,0.62,       -,       -,       -,       -,1.1
 PEIXE-MERLUZA,0.75,       -,       -,0.61,-0.99,       -,       -,       -,-1.25,       -,       -,       -,4.29,       -,       -,       -,-0.09
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,3.5,9.74,       -,       -,       -,       -,       -,       -,0.56,       -,4.59
 PEIXE-PESCADA,-1.58,       -,       -,2.08,-0.05,       -,5.96,       -,0.65,       -,       -,4.32,       -,       -,3.34,4.81,3.07
 CARANGUEJO,       -,       -,       -,       -,       -,       -,3.44,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.44
 PEIXE-CASTANHA,       -,       -,       -,6.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.35
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,       -,       -,0.42
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,       -,       -,0.42
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.66,7.66
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,12.29,       -,9.74
 PEIXE-SALMÃO,       -,       -,       -,       -,0.15,       -,       -,4.54,       -,       -,       -,       -,0.72,       -,       -,       -,0.73
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,3.6,       -,       -,       -,       -,       -,       -,       -,-0.64,3.49
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,3.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.5
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,-3.47,       -,-3.01
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.03
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.69,       -,       -,       -,       -,4.69
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.81,       -,       -,       -,0.81
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.42,       -,       -,0.42
 CARNES E PEIXES INDUSTRIALIZADOS,-0.72,0.58,1.08,-0.07,2.8,-0.23,-0.78,-0.95,2.8,0.96,-0.55,1.7,0.42,0.16,0.8,-0.54,1.24
 PRESUNTO,1.34,4.02,-0.7,       -,3.99,-2.19,2.01,-0.34,1.16,0.41,0.38,2.97,-1.91,1.42,       -,-0.25,1.99
 SALSICHA,-0.23,-0.31,1.62,3.11,2.05,-0.92,3.36,       -,       -,0.05,0.12,0.61,-0.34,1.33,0.81,-1.4,1.15
 LINGUIÇA,-2.32,1.22,3.37,0.9,2.88,1.01,1.27,-2.92,3.01,1.74,-1.32,1.54,2.53,0.21,0.53,-0.65,1.74
 MORTADELA,1.62,-1.34,0.62,-0.03,2.19,       -,-0.99,4.17,       -,0.49,       -,2.34,-3.29,-2.54,       -,0.94,1.0
 SALAME,       -,-0.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.96
 CARNE-SECA E DE SOL,-2.55,       -,       -,-0.71,       -,       -,-2.79,-0.36,2.81,       -,       -,1.15,       -,0.54,1.19,-0.73,0.09
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-5.8,       -,       -,       -,       -,       -,3.54,       -,       -,       -,       -,       -,       -,       -,-1.19
 HAMBÚRGUER,       -,       -,       -,       -,       -,-0.24,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.24
 AVES E OVOS,3.85,0,3.9,0.13,3.55,1,1.44,1.63,0.33,2.56,1.52,2.55,2.99,0.63,3.97,2.59,2.27
 FRANGO INTEIRO,2.33,-0.35,1.58,-0.29,3.69,0.09,2.38,2.08,-0.18,2.04,-0.72,1.54,-0.55,-0.26,4.62,2.38,1.66
 FRANGO EM PEDAÇOS,2.58,-0.73,2.98,-0.65,2.33,-0.9,-0.87,0.37,0.53,1.14,-1.45,-1.2,2.01,-0.18,1.11,2.48,1.35
 OVO DE GALINHA,8.63,2.31,9.71,2.67,5.76,5.78,-0.24,0.74,2.09,6.68,12.99,9.63,10.64,3.68,3.95,3.34,5.12
 LEITE E DERIVADOS,1.61,1.25,-1.78,-0.13,1.27,0.31,-0.87,-0.27,-0.23,1,-0.31,-0.42,0.9,-0.89,0.46,0.84,0.49
 LEITE LONGA VIDA,1.86,2.44,-3.13,-0.73,0.91,1.11,-2.12,-1.98,0.9,2.46,-0.39,-0.23,1,-1.89,1.29,3.88,0.52
 LEITE CONDENSADO,       -,0.33,       -,       -,       -,       -,-1.51,-0.63,       -,       -,       -,       -,-0.74,-1.16,       -,       -,-0.48
 LEITE EM PÓ,0.41,0.17,       -,0.19,-1.27,       -,-1.28,1.46,-0.72,0.42,0.24,0.66,-0.12,-1.64,-0.43,1.05,-0.26
 QUEIJO,2.03,0.09,-0.76,-0.46,2.36,-1.68,-0.24,1.37,-0.84,-0.75,0.39,0.22,2.12,1.24,2.98,-0.14,0.91
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,-1.98,       -,       -,       -,       -,       -,       -,       -,       -,-1.98
 IOGURTE E BEBIDAS LÁCTEAS,0.43,-1.05,2.68,-0.02,1.16,0.53,0.25,-1.07,-0.22,-2.17,-1.69,-1.15,-0.87,1.77,-0.74,-2.58,0.3
 MANTEIGA,       -,       -,       -,2.72,       -,       -,2.99,1.88,-1.12,       -,       -,-3.37,       -,1.42,       -,-1.6,0.5
 PANIFICADOS,1.54,-1.11,0.62,1.73,-0.05,0.22,0.49,3.72,-0.56,-0.29,0.82,-0.18,-0.24,0.21,0.26,1.32,0.43
 BISCOITO,1.23,0.71,1.96,1,-2.25,-3.32,0.16,0.29,1.29,0.54,1.25,0.61,0.85,-1.18,1.29,-0.27,0.14
 PÃO FRANCÊS,1.32,-1.64,-0.23,2.5,0.49,0.05,0.61,5.69,-1.32,-1.98,0.46,-0.26,-0.75,0.74,0.19,2.31,0.48
 PÃO DOCE,4.02,-3.23,2.67,       -,-1.01,4.42,0.32,1.47,-3.86,1.58,       -,-1.63,-0.81,       -,       -,-3.06,-0.07
 PÃO DE FORMA,2.37,-1.62,3.29,       -,0.03,2.59,       -,       -,       -,2.4,1.84,-0.8,-2.24,       -,       -,       -,0.85
 BOLO,1.39,-2.45,-1.21,-3.59,3.23,3.33,0.44,-2.01,2.12,2.91,2.84,-0.29,3.1,-0.99,-1.35,-0.03,1.0
 PÃO DE QUEIJO,       -,       -,0.52,       -,       -,2.51,       -,       -,       -,       -,-0.13,       -,       -,       -,       -,       -,0.72
 ÓLEOS E GORDURAS,-1.82,-0.44,1.24,1.3,0.53,1.08,1.57,0.57,1.08,1.43,1.28,1.7,0.5,0.4,1.87,0.53,0.59
 ÓLEO DE SOJA,-2.86,0.88,0.64,0.76,2.52,1.71,2.57,0.4,0.69,0.91,1.73,1.13,-0.11,0.3,1.84,-0.25,1.09
 AZEITE DE OLIVA,-1.47,       -,       -,       -,-1.45,       -,       -,       -,       -,       -,       -,-0.61,       -,       -,       -,       -,-1.42
 MARGARINA,-0.98,-3.04,2.83,1.71,-1.83,0.36,-0.03,0.75,1.65,2.44,-0.45,4.36,1.98,0.68,1.91,1.63,0.12
 BEBIDAS E INFUSÕES,-1.25,0.04,-0.68,-0.88,-0.09,0.51,2.21,-0.09,-0.06,-0.3,0.25,-0.63,-1.86,1.63,-0.71,-0.53,-0.15
 SUCO DE FRUTAS,-1.95,-0.43,-0.25,-1.21,1.2,0.58,0.35,0.25,0.46,-1.9,-0.73,0.68,-3.03,1.26,0.93,0.58,0.08
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,10.14,       -,       -,       -,       -,       -,       -,0.47,       -,       -,10.02
 CAFÉ MOÍDO,-0.15,-0.23,-0.05,-1.48,-0.88,0.1,-3,-1.05,-0.37,-0.17,-0.24,-0.74,-0.69,0.92,-2.85,-0.25,-0.69
 CAFÉ SOLÚVEL,       -,0.41,       -,-0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.22,0.11
 CHÁ,       -,0.76,       -,       -,       -,       -,       -,       -,       -,-0.06,       -,       -,1.32,       -,       -,       -,0.62
 REFRIGERANTE E ÁGUA MINERAL,-1.85,0.11,-0.33,-0.93,-0.59,0.32,-0.74,0.38,0.41,0.26,1.1,-0.06,-2.38,2.06,0.29,0,-0.37
 CERVEJA,-0.9,-0.71,-2.16,-0.61,0.84,1.2,-0.91,-0.27,-0.88,-0.8,-0.8,-1.28,-2.39,1.66,-0.14,-2.48,-0.34
 OUTRAS BEBIDAS ALCOÓLICAS,-1.03,0.87,-1.76,0.71,-0.07,0.25,0.11,1.38,0.51,-0.77,0.46,-2.28,       -,       -,       -,1.16,-0.29
 ENLATADOS E CONSERVAS,-0.88,-0.28,0.12,1.05,0.36,0.38,0.62,0.11,-1,1.1,0.13,-0.42,0.21,-0.58,-1.05,1.33,0.2
 COCO RALADO,       -,       -,       -,       -,-0.54,3.52,       -,       -,       -,2.21,       -,       -,-0.74,       -,       -,       -,0.5
 ERVILHA EM CONSERVA,-1.85,-0.83,       -,       -,       -,0.76,       -,       -,-0.59,       -,       -,       -,-0.92,       -,       -,-0.06,-0.93
 PALMITO EM CONSERVA,0.13,       -,2.41,       -,1.28,       -,       -,       -,       -,1.27,0.91,1.01,       -,       -,       -,       -,1.3
 PEPINO EM CONSERVA,       -,-0.38,       -,       -,       -,       -,       -,       -,       -,2.53,       -,       -,0.21,       -,       -,       -,0.6
 SARDINHA EM CONSERVA,-0.36,-1.51,-0.98,1.63,0.98,       -,0.96,0.5,-0.31,-0.06,-1.45,-0.93,-1.93,-0.74,-1.58,2.21,0.16
 SALSICHA EM CONSERVA,       -,       -,       -,0.99,       -,0.99,-0.35,0.76,       -,       -,       -,       -,       -,-2.93,       -,1.83,0.36
 CARNE EM CONSERVA,       -,       -,       -,0.88,       -,       -,0.12,-1.26,       -,       -,       -,       -,       -,-0.68,1.1,-0.47,0.31
 PATÊ,-1.55,1.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.11
 SOPA DESIDRATADA,       -,-0.63,0.18,       -,-0.44,0.26,       -,       -,       -,       -,-0.55,0.58,       -,0.46,       -,       -,-0.22
 AZEITONA,-0.85,       -,1.36,-0.39,0.23,-1.93,-0.33,       -,0.65,0.37,1.24,-1.35,3.63,       -,       -,       -,0.34
 MILHO-VERDE EM CONSERVA,-1.1,-0.02,-0.88,-0.54,-0.78,0.24,3.15,0.42,-2.57,2.61,0,-0.55,2.06,-0.42,1.02,0.44,-0.02
 ATUM EM CONSERVA,-0.96,1.22,-1.82,       -,0.37,-0.15,       -,-0.84,-2.49,0.54,       -,       -,       -,       -,       -,       -,-0.19
 SAL E CONDIMENTOS,4.01,-0.01,1.66,0.52,1.26,0.16,0.64,2.28,2.84,-0.32,0.77,2.94,1.83,0.39,1.79,0.98,1.34
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,0.65,       -,       -,       -,       -,       -,       -,       -,0.65
 ATOMATADO,-1.66,0.68,0.21,-1.47,0.8,-3.25,-1.75,-0.87,-0.03,-1.93,1.04,1.24,-1.51,-0.77,1.12,-0.71,-0.19
 ALHO,11.02,       -,6.93,6.45,3.71,5.97,0.05,6.5,14.98,3.14,2.26,7.02,10.29,0.76,7.77,4.98,6.15
 SAL,       -,       -,       -,       -,       -,2.66,-1.14,0.89,       -,       -,-1.9,       -,0.21,0.02,-1.26,       -,-0.59
 FERMENTO,       -,-0.49,       -,       -,       -,       -,       -,       -,       -,1.27,       -,-0.36,       -,       -,       -,       -,0.26
 MAIONESE,2.59,0.46,-0.9,-1.27,-2.13,-1.37,-0.7,-1.22,       -,-0.97,1.77,-0.97,0.78,-0.89,       -,       -,-0.63
 VINAGRE,       -,       -,       -,-0.57,       -,       -,3.62,       -,       -,       -,       -,       -,       -,       -,1.04,1.43,1.49
 CALDO CONCENTRADO,1.42,-2.21,-1.9,1.07,-0.91,0.21,       -,1.85,1.55,       -,       -,1.98,       -,       -,       -,0.44,-0.41
