"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA VITAMINADA,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,1.18
 FARINHA DE MANDIOCA,-1.65,0.0,0.0,0.82,0.0,-2.8,-1.31,-0.63,4.89,0.0,0.0,-3.05,0.0,0.43,-4.66,1.1,0.34
 MASSA SEMIPREPARADA,-0.35,-0.06,-3.96,0.0,1.44,1.73,0.0,0.0,0.0,3.35,1.85,0.06,-0.22,0.0,0.0,3.52,0.31
" TUBÉRCULOS, RAÍZES E LEGUMES",7.94,15.9,5.07,3.56,12.26,14.69,17.0,5.78,9.35,17.1,18.0,11.94,5.6,18.41,23.28,9.49,11.19
 BATATA-INGLESA,-9.08,3.65,-6.32,-3.96,4.87,0.18,8.35,-5.48,-2.96,12.79,1.02,-4.06,-4.87,-1.0,4.23,-0.18,-0.38
 INHAME,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.28,-0.86
 MANDIOCA (AIPIM),0.0,4.37,0.0,-7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-1.63,0.0,0.0,-3.76,-2.41
 ABÓBORA,11.75,0.0,-10.39,0.0,0.0,-2.22,0.0,0.0,0.0,0.0,-5.22,0.0,0.0,0.0,0.0,0.0,-1.66
 PIMENTÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98
 QUIABO,0.0,0.0,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.94
 TOMATE,39.83,31.53,28.86,14.94,27.06,36.28,24.13,22.98,23.59,25.49,40.11,44.68,13.98,27.65,36.15,26.36,28.64
 CEBOLA,8.64,21.02,2.82,2.92,4.41,11.62,13.62,3.43,9.4,19.2,6.87,5.47,7.09,20.95,6.48,1.52,8.62
 CENOURA,-2.49,0.0,-1.87,0.0,-1.18,1.41,0.0,-1.27,2.68,-0.17,11.46,0.37,0.0,0.0,0.0,5.73,-0.07
 MANDIOQUINHA (BATATA-BAROA),0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91
 AÇÚCARES E DERIVADOS,-2.42,-0.37,2.38,0.63,-1.99,-3.02,-1.46,1.02,-1.61,-3.27,0.47,-0.05,1.32,-0.38,-0.93,-0.41,-1.05
 AÇÚCAR REFINADO,-3.02,-1.19,0.0,0.0,-1.66,0.0,-3.95,0.69,0.0,-3.1,0.0,0.0,0.0,1.8,0.03,2.59,-1.88
 AÇÚCAR CRISTAL,-2.16,0.76,5.12,2.13,-0.72,-5.09,-0.19,1.31,-1.41,-2.22,1.62,0.42,2.13,-0.64,-2.59,-0.05,0.41
 BALAS,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,0.0,0.0,0.0,0.0,0.0,0.0,-0.49
 CHOCOLATE EM BARRA E BOMBOM,-5.8,-5.4,-2.82,-6.87,-7.04,-6.48,-4.03,0.0,-6.34,-7.0,-2.84,-2.08,-3.21,-0.73,0.0,-6.81,-5.82
 SORVETE,0.86,3.79,3.81,0.78,0.51,0.78,0.0,3.74,-1.03,-3.76,-2.17,-0.26,1.47,0.0,1.35,-1.51,0.68
 CHOCOLATE E ACHOCOLATADO EM PÓ,-1.68,1.59,-1.62,0.53,-1.01,-0.4,-0.05,-0.13,-0.5,-1.76,0.83,0.02,2.79,-1.14,0.4,-0.26,-0.64
 DOCE DE FRUTAS EM PASTA,0.0,0.0,0.0,-0.52,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
 HORTALIÇAS E VERDURAS,3.23,-1.49,4.04,2.38,-2.18,5.2,4.49,-3.04,4.19,0.83,5.37,5.0,3.9,2.93,0.28,7.6,0.74
 ALFACE,-0.2,-7.41,1.16,6.15,-6.03,2.89,0.09,-5.87,-1.29,-7.41,2.01,2.75,-7.71,-0.55,-2.01,8.7,-3.9
 COENTRO,0.0,0.0,0.0,-3.54,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,5.92,-0.06
 COUVE,-1.4,0.0,-1.87,0.0,5.71,6.78,0.0,0.0,0.0,3.15,1.09,0.17,0.0,0.0,0.0,0.0,2.33
 COUVE-FLOR,9.01,9.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,9.09
 REPOLHO,20.15,3.71,24.45,16.31,4.31,17.78,19.36,0.0,15.8,24.61,12.63,24.85,29.68,16.44,0.0,10.13,13.92
 CHEIRO-VERDE,-1.68,0.0,0.0,0.0,-0.59,1.29,1.04,-2.59,2.04,0.0,0.0,-3.68,-1.63,0.06,1.5,0.0,-0.51
 AGRIÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,1.23
 BRÓCOLIS,1.98,4.32,-5.57,0.0,6.91,3.34,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,3.71
 FRUTAS,-2.77,-0.47,-3.05,-0.21,-0.77,1.45,-0.34,-6.89,4.53,1.63,-0.18,4.75,-5.63,0.07,-2.1,2.22,-0.71
 BANANA-DA-TERRA,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,12.13,0.0,0.0,22.13,0.0,2.05,0.0,0.0,9.54
 ABACAXI,0.3,2.66,3.41,5.08,-2.2,0.0,0.0,0.0,0.0,6.76,-0.11,0.0,-0.84,0.0,0.0,-1.54,1.33
 ABACATE,0.0,0.0,0.0,0.0,0.0,0.0,-3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.96
 BANANA-D'ÁGUA,2.17,5.62,0.0,0.0,0.58,7.49,0.0,0.0,0.0,7.03,0.0,0.0,-4.16,0.0,0.0,0.0,2.28
 BANANA-MAÇÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.61,0.0,-2.27,0.0,0.0,0.0,-5.63
 BANANA-PRATA,2.37,2.32,1.75,3.83,-3.07,4.07,-0.71,-13.09,-0.25,8.18,0.74,9.85,0.0,-0.83,-3.86,2.08,-0.65
 LARANJA-BAÍA,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42
 LIMÃO,0.0,0.0,0.0,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,-1.34
 MAÇÃ,-4.62,-8.6,-7.13,-6.79,-4.08,-4.33,-0.08,-4.03,0.8,-6.67,-2.78,-2.26,-10.92,-3.8,-1.36,-3.51,-4.72
 MAMÃO,-9.33,-4.81,-13.31,6.3,1.03,6.18,4.38,-1.95,14.95,-7.6,0.0,-4.43,3.65,0.0,14.13,6.53,-2.24
 MANGA,-2.46,0.0,0.0,-8.02,0.0,-0.97,0.0,0.0,0.0,0.0,0.0,-5.69,0.0,0.0,0.0,-1.45,-3.97
 MARACUJÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.31,20.64,0.0,0.0,0.0,0.0,0.0,0.0,17.09,22.22
 MELANCIA,0.0,0.0,12.01,-5.53,-7.64,-2.74,-0.71,-11.37,-3.0,3.43,2.06,0.0,-4.98,5.11,-6.74,2.47,-2.74
 PÊRA,-0.73,0.0,0.0,0.0,-3.4,-3.05,0.0,0.0,0.0,0.0,-3.87,-4.66,0.0,0.0,0.0,0.0,-2.72
 TANGERINA,0.0,-0.47,0.0,0.0,15.01,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.07
 UVA,-4.62,0.0,1.5,-3.57,3.2,-1.29,-4.59,-3.39,-1.92,6.26,7.97,-0.14,-1.99,-1.61,-4.27,1.2,0.67
 LARANJA-PERA,-4.83,0.0,-10.63,-1.09,-0.31,2.21,1.01,-6.6,11.06,1.81,1.81,7.37,-11.03,-1.0,2.03,1.86,-1.25
 MORANGO,0.0,7.38,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08,0.0,0.0,0.0,0.0,0.0,0.0,18.88
 GOIABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
 CARNES,0.32,0.31,-0.01,0.69,-0.39,-1.22,3.87,1.59,1.39,-0.82,0.8,0.66,-0.08,0.23,0.83,1.0,0.46
 FÍGADO,0.0,0.0,0.0,-1.42,0.0,0.0,5.2,2.9,2.92,0.0,0.0,0.0,0.0,0.0,0.75,-0.31,2.46
 CARNE DE PORCO,3.59,-0.03,-0.44,1.6,2.14,-0.14,-4.03,1.31,6.83,4.23,1.57,1.27,0.5,-1.83,0.03,2.75,1.62
 CARNE DE CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
 CONTRAFILÉ,-5.6,-0.25,0.82,-1.22,-2.71,-2.46,2.71,-2.2,-2.38,-2.51,1.8,-3.77,-2.69,2.45,-1.0,-0.28,-1.74
 FILÉ-MIGNON,-10.17,0.0,0.0,2.62,0.0,0.0,3.55,0.0,-4.3,-3.94,1.21,0.0,1.79,0.0,0.0,0.0,-2.76
 CHÃ DE DENTRO,-2.14,2.63,-3.02,3.92,-1.39,-1.11,2.55,0.63,-2.11,-5.76,1.22,-0.27,0.64,-2.12,4.06,1.3,-0.71
 ALCATRA,2.81,0.1,-0.23,0.26,-2.06,-0.09,0.77,3.48,-1.06,-2.03,0.23,-0.2,-2.29,-0.22,3.85,0.94,-0.12
 PATINHO,-2.18,1.31,-1.75,-0.56,-2.91,-0.27,2.75,1.27,1.71,8.17,-0.13,-0.12,2.06,2.6,-0.99,1.76,0.11
 LAGARTO REDONDO,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
 LAGARTO COMUM,0.0,0.0,0.0,0.0,-4.64,-2.25,0.0,2.16,-1.11,0.0,2.8,0.0,-0.14,-0.42,0.0,-0.17,-2.49
 MÚSCULO,5.31,-2.63,-0.12,0.29,1.01,0.0,1.78,0.0,4.3,0.11,0.15,4.8,3.78,-0.72,-0.31,0.0,1.08
 PÁ,0.0,2.04,0.0,0.53,1.29,1.17,7.01,0.0,0.54,-3.85,0.0,0.0,1.12,0.49,-0.08,0.59,1.58
 ACÉM,6.01,4.62,3.83,4.69,2.75,4.02,5.18,3.61,6.94,5.18,1.32,1.28,5.42,0.23,-0.01,2.87,3.83
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,7.6,5.07,6.27,0.0,-0.24,0.0,0.26,0.86,0.88,3.83,4.93
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.06,0.23,0.0,0.0,-1.79
 COSTELA,3.94,-0.37,0.41,-0.3,0.19,-3.95,8.27,3.56,3.54,-1.82,0.04,2.28,-1.01,-0.88,-0.55,-0.15,0.73
 PESCADOS,1.95,6.87,0.31,0.56,0.68,2.78,0.2,1.36,1.77,-1.06,1.63,0.35,-1.4,1.17,2.43,2.44,1.27
 PEIXE-ANCHOVA,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,1.53
 PEIXE-CORVINA,11.57,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,3.56,3.85
 PEIXE-CAVALINHA,0.0,0.0,0.0,-1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
 PEIXE,0.0,6.87,0.31,0.0,0.0,2.78,0.0,0.0,0.0,-1.06,1.63,0.0,0.0,0.0,0.0,0.0,2.13
 PEIXE-PESCADINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,2.74
 PEIXE-TAINHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PEIXE-SARDINHA,0.0,0.0,0.0,0.87,0.14,0.0,0.0,0.0,4.86,0.0,0.0,0.0,1.55,0.0,0.0,-1.99,1.02
 CAMARÃO,-1.02,0.0,0.0,-0.73,0.0,0.0,-2.96,0.0,0.77,0.0,0.0,-1.46,-1.4,0.0,-0.28,2.88,-0.54
 PEIXE-VERMELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33
 PEIXE-CAVALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.22,8.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03
 PEIXE-PACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.82,0.0,0.0,0.0,-3.82
 PEIXE-DOURADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53,0.0,0.0,0.0,0.0,-4.53
 PEIXE-CAÇÃO,1.95,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,3.2
 PEIXE-MERLUZA,-0.19,0.0,0.0,-1.86,0.68,0.0,0.0,0.0,0.31,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.02
 PEIXE-SERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.34
 PEIXE-PESCADA,-0.09,0.0,0.0,2.06,1.0,0.0,2.27,0.0,2.15,0.0,0.0,3.53,0.0,0.0,5.2,4.44,2.24
 CARANGUEJO,0.0,0.0,0.0,0.0,0.0,0.0,-2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.12
 PEIXE-CASTANHA,0.0,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58
 PEIXE-PIAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,1.17
 PEIXE-SURUBIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.94
 SURURU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.47
 PEIXE-CURIMATÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,1.44,0.0,1.04
 PEIXE-SALMÃO,0.0,0.0,0.0,0.0,-2.22,0.0,0.0,1.36,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,-1.7
 PEIXE-TILÁPIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,1.89
 PEIXE-TUCUNARÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
 PEIXE-TAMBAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.19,0.0,1.37
 PEIXE-DOURADA,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22
 PEIXE-PEROÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,1.85
 PEIXE-PINTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.53,0.0,0.0,0.0,-3.53
 PEIXE-MANDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,1.17
 CARNES E PEIXES INDUSTRIALIZADOS,2.21,1.0,-0.04,2.4,0.28,1.1,-0.08,1.47,1.32,0.18,0.77,1.51,0.39,-1.13,-0.18,0.74,0.79
 PRESUNTO,1.64,1.55,-2.94,0.0,2.16,-0.17,1.54,-1.03,1.09,2.08,0.96,1.77,0.99,-2.37,0.0,0.58,1.1
 SALSICHA,0.36,0.69,-1.57,0.53,-0.43,2.8,-0.34,0.0,0.0,-0.62,-1.05,0.3,6.66,-1.73,-1.84,-2.27,-0.07
 LINGUIÇA,3.67,-0.24,0.91,2.64,0.63,0.82,-3.07,2.57,2.02,1.1,1.09,2.48,-0.58,-0.3,1.97,0.15,1.01
 MORTADELA,-2.03,2.73,5.49,4.55,-2.25,0.0,1.39,2.22,0.0,-2.75,0.0,2.03,-2.62,-1.44,0.0,-0.14,-0.24
 SALAME,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87
 CARNE-SECA E DE SOL,6.09,0.0,0.0,2.27,0.0,0.0,0.71,-0.57,1.4,0.0,0.0,-1.92,0.0,-0.34,-2.52,2.05,1.76
 CARNE DE PORCO SALGADA E DEFUMADA,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2
 HAMBÚRGUER,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67
 AVES E OVOS,0.9,0.73,-1.78,3.28,2.45,2.45,4.62,2.72,4.09,4.01,4.46,4.13,0.98,2.45,0.67,2.56,2.3
 FRANGO INTEIRO,4.85,-0.3,-3.7,2.7,3.21,3.85,5.69,3.9,5.07,6.0,4.61,5.82,-0.38,3.89,0.93,4.83,3.32
 FRANGO EM PEDAÇOS,-0.66,-0.14,-1.75,3.13,0.66,0.11,1.89,1.25,1.66,1.87,1.06,1.23,0.66,0.37,1.2,0.99,0.48
 OVO DE GALINHA,0.7,3.96,1.53,5.4,4.9,3.62,2.64,-0.48,4.85,5.91,6.49,3.81,3.55,0.26,-0.65,0.79,3.3
 LEITE E DERIVADOS,-2.13,0.85,0.78,1.21,-0.06,-0.98,0.47,0.12,1.46,0.5,0.94,0.71,0.21,0.24,-0.1,2.61,0.17
 LEITE LONGA VIDA,-5.25,0.95,-0.51,2.24,0.52,-2.1,0.78,-0.34,-0.24,-0.11,1.53,0.57,0.04,0.1,-0.27,4.29,-0.3
 LEITE CONDENSADO,0.0,0.37,0.0,0.0,0.0,0.0,0.06,-0.23,0.0,0.0,0.0,0.0,2.21,-0.21,0.0,0.0,0.31
 LEITE EM PÓ,1.5,-0.21,0.0,1.67,-1.43,0.0,0.35,1.28,3.77,0.32,-0.37,-0.03,-1.35,-0.18,0.06,3.11,1.09
 QUEIJO,-0.17,0.89,3.93,1.54,-0.2,1.25,0.61,-0.68,0.62,1.58,0.12,0.81,0.65,1.65,-1.07,1.33,0.71
 CREME DE LEITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15
 IOGURTE E BEBIDAS LÁCTEAS,1.21,0.93,-0.02,-1.94,-1.6,-0.53,-0.1,-0.61,1.32,1.47,-0.56,1.22,0.05,0.77,1.0,2.57,-0.23
 MANTEIGA,0.0,0.0,0.0,-0.08,0.0,0.0,1.45,0.01,2.34,0.0,0.0,1.42,0.0,0.59,0.0,-0.86,1.12
 PANIFICADOS,-0.95,0.15,-0.01,-0.82,-0.02,-0.04,0.3,-1.16,1.69,-0.61,0.56,0.9,0.62,2.31,-1.43,0.0,-0.09
 BISCOITO,0.23,0.06,0.8,1.88,1.4,1.81,0.81,0.39,1.58,1.12,-0.85,-0.11,1.13,0.63,0.82,1.24,0.91
 PÃO FRANCÊS,-1.1,0.3,0.04,-2.14,0.3,-0.34,0.11,-2.02,1.55,-0.66,0.76,1.18,0.35,2.94,-2.44,-0.81,-0.19
 PÃO DOCE,-1.83,2.04,-1.95,0.0,-0.75,3.37,1.05,0.03,5.99,-0.08,0.0,1.1,0.34,0.0,0.0,1.07,-0.02
 PÃO DE FORMA,-2.04,-1.18,-1.24,0.0,-1.68,-4.74,0.0,0.0,0.0,-1.72,1.44,0.62,2.79,0.0,0.0,0.0,-1.52
 BOLO,-0.38,-0.03,-0.22,0.11,-4.26,-0.17,-0.02,1.58,-0.74,-3.67,0.0,2.43,-0.37,0.86,0.99,3.84,-1.64
 PÃO DE QUEIJO,0.0,0.0,-0.66,0.0,0.0,-0.37,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.26
 ÓLEOS E GORDURAS,-0.05,0.15,-0.08,1.31,-1.06,0.27,-0.43,0.2,3.03,0.77,-1.45,-0.91,0.88,-0.98,0.59,1.56,0.03
 ÓLEO DE SOJA,-1.05,-0.42,-0.2,2.52,-1.86,-1.0,0.79,0.6,-0.1,0.14,-1.81,-1.4,0.81,-1.42,1.48,2.26,-0.49
 AZEITE DE OLIVA,1.21,0.0,0.0,0.0,-2.93,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,-1.41
 MARGARINA,0.29,1.33,0.25,0.4,1.24,1.73,-2.41,-0.24,7.53,1.98,-0.03,-0.24,1.05,0.25,-1.09,0.59,1.15
 BEBIDAS E INFUSÕES,-0.26,0.03,0.13,1.12,-0.87,0.2,2.23,-0.25,0.66,0.5,0.92,-1.43,0.0,-0.16,-0.3,0.96,0.01
 SUCO DE FRUTAS,-0.03,-0.42,0.61,-0.62,-1.82,-1.28,-0.18,-1.6,0.36,0.07,1.82,0.06,-0.09,1.83,0.12,2.47,-0.65
 AÇAÍ (EMULSÃO),0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,6.36
 CAFÉ MOÍDO,-1.29,-1.75,-2.87,1.36,-0.89,-3.03,-1.27,-0.52,3.42,5.46,-2.15,-2.08,-0.43,0.46,-0.3,-0.5,-0.34
 CAFÉ SOLÚVEL,0.0,1.92,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,1.7
 CHÁ,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.07,0.0,0.0,0.0,1.05
 REFRIGERANTE E ÁGUA MINERAL,-0.53,0.31,0.75,2.11,-0.3,2.55,0.99,-0.27,0.47,-0.06,2.49,-2.9,0.38,-0.68,0.03,0.35,0.26
 CERVEJA,0.25,-0.63,2.04,-0.94,-1.31,0.36,0.25,0.85,-2.01,-2.47,1.0,-0.42,-0.16,-0.34,-1.11,1.58,-0.6
 OUTRAS BEBIDAS ALCOÓLICAS,0.87,-0.94,0.3,-0.38,-1.26,-0.19,0.22,1.92,-0.08,-1.55,-1.89,1.02,0.0,0.0,0.0,0.39,-0.42
 ENLATADOS E CONSERVAS,-1.96,-1.73,-3.1,-2.56,-0.29,-1.6,0.09,-1.52,-1.85,0.03,-0.89,-0.14,-0.92,0.7,-2.55,-0.83,-1.1
 COCO RALADO,0.0,0.0,0.0,0.0,2.24,-0.85,0.0,0.0,0.0,1.58,0.0,0.0,-1.85,0.0,0.0,0.0,1.66
 ERVILHA EM CONSERVA,1.66,-3.77,0.0,0.0,0.0,-1.87,0.0,0.0,-1.56,0.0,0.0,0.0,0.16,0.0,0.0,-0.94,-1.79
 PALMITO EM CONSERVA,-1.52,0.0,-5.86,0.0,1.06,0.0,0.0,0.0,0.0,-2.73,-1.2,1.31,0.0,0.0,0.0,0.0,-0.84
