"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 QUIABO,       -,       -,4.39,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.38
 TOMATE,-20.85,-10.75,-29.54,3.65,-19.65,-9.24,-4.34,-10.82,-5.01,-16.65,-23.7,-17.67,-22.59,4.22,-1.77,2.24,-15.08
 CEBOLA,-0.63,-7.31,1.57,-12.26,-0.49,1.01,-4.75,-8.81,-24.51,-4.47,-1.08,-4.29,5.33,3.04,1.73,-8.61,-4.71
 CENOURA,21.62,       -,20.37,       -,13.14,19.73,       -,22.59,9.04,12.16,13.24,12.75,       -,       -,       -,12.86,15.74
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,-1.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.08
 AÇÚCARES E DERIVADOS,1.76,0.09,-1.47,2.7,2.08,0.11,0.11,-0.57,0.96,1.45,-0.81,0.91,0.19,-0.79,-2.85,-0.46,0.83
 AÇÚCAR REFINADO,0.23,2.45,       -,       -,-1.85,       -,6.98,0.58,       -,-0.34,       -,       -,       -,1.31,-0.84,-2.23,0.22
 AÇÚCAR CRISTAL,-0.17,-2.29,-3.62,2.89,2.72,-0.83,-3.2,-0.25,0.35,-0.36,-2.2,0.9,-0.2,-1.67,-5.62,-0.92,-0.59
 BALAS,       -,-0.11,       -,       -,       -,       -,       -,       -,       -,-1,       -,       -,       -,       -,       -,       -,-0.59
 CHOCOLATE EM BARRA E BOMBOM,10.08,2.18,2.29,10.06,7.83,9.67,0.77,       -,11.28,9.71,4.41,2.28,2.17,-1.06,       -,5.93,6.37
 SORVETE,0.9,-0.72,-1.23,1.49,-0.24,-2.12,       -,-4.31,0.86,-0.86,1.95,2.11,0.5,       -,0.59,-1.12,-0.25
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.97,-0.13,1.24,0.35,1.53,-0.16,-0.49,-2.35,-0.88,1.3,-1.1,-0.75,-0.73,0.99,-1.75,0.15,0.62
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,-3.18,       -,-1.5,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.25
 HORTALIÇAS E VERDURAS,-2.49,-3.43,-5.93,-12.52,-5.5,-0.46,1.38,1.25,-3.1,-11.88,-3.79,-0.25,-12.08,-0.9,3.45,-4.19,-4.63
 ALFACE,-0.62,-4.42,-2.89,-10.3,-5.67,-1.42,2.63,4.06,-10.98,-12.71,0.24,-0.76,-6.84,-1.69,2.65,-8.77,-5.0
 COENTRO,       -,       -,       -,-14.02,       -,       -,       -,       -,-7.36,       -,       -,       -,       -,       -,       -,-5.9,-10.62
 COUVE,-0.11,       -,-2.36,       -,-3.85,-0.71,       -,       -,       -,2.8,-0.49,3.6,       -,       -,       -,       -,-2.01
 COUVE-FLOR,-13.59,-10.95,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.57,       -,       -,       -,       -,-11.9
 REPOLHO,-6.32,2.47,-18.91,-11.9,-10.37,0.14,5.55,       -,8.29,-17.86,-10.69,3.16,-25.82,1.18,       -,4.89,-7.07
 CHEIRO-VERDE,2.25,       -,       -,       -,-2.44,2.32,-0.95,0.83,0.35,       -,       -,-2.26,0.25,-1.3,3.86,       -,-0.09
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.85,       -,       -,       -,-0.85
 BRÓCOLIS,-2.24,-5.72,-1.5,       -,-5.03,-4.2,       -,       -,       -,-4.85,       -,       -,       -,       -,       -,       -,-4.2
 FRUTAS,-3.94,-4.8,-6.68,0.25,-0.18,-5.27,-3.18,1.81,0.35,-9.03,-1.94,-3.5,-11.89,-3.84,0.82,-1.28,-2.87
 BANANA-DA-TERRA,       -,       -,       -,11.94,       -,       -,       -,       -,13.39,       -,       -,-3.55,       -,-0.94,       -,       -,10.21
 ABACAXI,-2.77,-7.62,-3.75,-7.81,3.7,       -,       -,       -,       -,-1.71,-1.87,       -,-1.6,       -,       -,-9.27,-2.33
 ABACATE,       -,       -,       -,       -,       -,       -,-7.79,       -,       -,       -,       -,       -,       -,       -,       -,       -,-7.79
 BANANA-D'ÁGUA,-3.06,-6.08,       -,       -,0.16,-7.12,       -,       -,       -,-13.82,       -,       -,-18.19,       -,       -,       -,-3.61
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.1,       -,-7.29,       -,       -,       -,-4.08
 BANANA-PRATA,2.54,3.02,2.4,-1.29,6.47,-2.95,-2.67,7.87,4.3,-2.49,-1.65,0.35,       -,-3.66,3.43,1.31,2.47
 LARANJA-BAÍA,       -,-0.43,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.43
 LIMÃO,       -,       -,       -,       -,       -,       -,5.82,       -,       -,       -,       -,       -,       -,       -,2.59,       -,4.86
 MAÇÃ,-0.14,-7.51,1.26,6.11,0.81,-3.75,-5.8,2.81,3.32,-4.97,-1.74,2.39,0.92,-8.25,-5.17,1.39,-0.8
 MAMÃO,-18.79,-14.13,-26.08,-7.6,-11.17,-19.92,-18.43,-0.44,-6.42,-24.93,       -,-16.87,-20.53,       -,-5.31,-1.18,-14.75
 MANGA,-18.9,       -,       -,-5.29,       -,-9.21,       -,       -,       -,       -,       -,-19.23,       -,       -,       -,-2.16,-13.13
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-31.53,-5.76,       -,       -,       -,       -,       -,       -,-9.01,-14.16
 MELANCIA,       -,       -,6.1,15.59,4.72,4.92,5.92,24.56,-0.74,6.73,1.85,       -,1.75,-1.76,4.54,6.57,5.86
 PÊRA,-1.03,       -,       -,       -,2.87,-6.24,       -,       -,       -,       -,1.54,0.95,       -,       -,       -,       -,0.71
 TANGERINA,       -,-4.64,       -,       -,-8.38,       -,       -,       -,       -,       -,       -,-3.5,       -,       -,       -,       -,-4.75
 UVA,-2.58,       -,-1.28,-0.25,1.58,1.9,-5.45,-6.72,-1.8,-18.36,-4.31,2.64,-4.46,-3.57,-0.77,-4.51,-1.94
 LARANJA-PERA,-4.06,       -,-20.12,-5.5,-0.47,-2.93,2.52,-3.42,-4.91,-10.27,-3.44,-4.26,-24.64,-3.28,-2.16,-3.14,-5.52
 MORANGO,       -,15.61,1.22,       -,       -,       -,       -,       -,       -,21.96,       -,       -,       -,       -,       -,       -,11.2
 GOIABA,       -,       -,       -,       -,       -,       -,       -,-6.57,       -,       -,       -,       -,       -,       -,       -,       -,-6.57
 CARNES,-1.06,-1.5,0.4,1.86,1.77,0.65,-1.54,1.57,-0.89,0.02,0.41,0.06,0.66,1.51,0.31,0.4,0.25
 FÍGADO,       -,       -,       -,2.53,       -,       -,0.72,0.61,1.62,       -,       -,       -,       -,       -,4.02,-0.78,1.63
 CARNE DE PORCO,-1.68,1.46,1.87,-4.66,-0.98,-1.57,5.39,-1.01,1.17,1.09,-0.46,-1.1,-0.07,-0.79,3.64,-1.66,0.23
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,3.87,0.92,       -,       -,       -,       -,       -,       -,       -,1.92
 CONTRAFILÉ,-2.64,-1.27,-1.37,4.92,2.98,-0.32,-0.75,3.85,-2.9,-0.03,0.47,0.74,2.38,3.68,2.6,2.46,0.35
 FILÉ-MIGNON,-0.94,       -,       -,2.49,       -,       -,-5.48,       -,1.75,-2.21,-4.12,       -,-1.43,       -,       -,       -,-1.81
 CHÃ DE DENTRO,0.34,-2.94,3.15,2.1,1.38,0.49,-0.74,1.18,-1.97,-2.72,-0.53,-3.32,-0.94,3.29,-1.79,-0.57,0.15
 ALCATRA,-5.47,-3.02,-1.24,1.17,3.79,0.91,-0.24,-0.76,-2.46,0.26,0.32,0.54,1.8,0.25,-1.7,-0.42,-0.54
 PATINHO,2.25,0.32,1.2,2.27,6.38,0.53,-2,2.1,-1.67,-5.58,1.1,2.2,-1.85,0.01,-4.87,-2.09,1.45
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-3.37,       -,-3.23,       -,       -,       -,       -,       -,       -,       -,-3.33
 LAGARTO COMUM,       -,       -,       -,       -,5.63,1.21,       -,-1.56,-1.33,       -,0.1,       -,2.07,0.55,       -,0.7,3.05
 MÚSCULO,3.21,0.16,-1.63,1.76,0.15,       -,-2.22,       -,1.57,0.01,-0.88,-0.05,0.83,0.96,-4.95,-1.65,-0.01
 PÁ,       -,3.44,       -,2.24,-0.47,-0.13,-1.39,       -,-0.36,7.21,       -,       -,-1.13,-0.67,3.13,3.4,1.27
 ACÉM,3.79,2.61,-0.07,3.2,0.99,-0.49,-1.92,0.33,-1.1,9.9,1.22,1.63,-0.39,1.51,0.01,0.16,1.15
 PEITO,       -,       -,       -,       -,       -,       -,-3.01,0.69,0.98,       -,1.27,       -,-2.14,-0.63,2.4,-2.28,-0.53
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.64,1.51,       -,       -,-0.38
 COSTELA,0.13,-3.75,5.04,0.43,-0.41,1.68,-3.43,2.62,0.53,-1.44,1.86,-0.5,3.19,1.59,1.87,2.37,-0.43
 PESCADOS,-1.78,2.17,-0.86,-2.05,0.18,3.91,-3.35,-0.5,-1.32,2.34,2.26,-3.02,1.25,-2.01,-0.97,-0.92,-1.16
 PEIXE-ANCHOVA,-2.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.96
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.91,       -,       -,       -,       -,-2.91
 PEIXE-CORVINA,-17.86,       -,       -,-5.57,       -,       -,       -,       -,-2.44,       -,       -,       -,       -,       -,       -,-0.68,-7.57
 PEIXE-CAVALINHA,       -,       -,       -,3.01,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.01
 PEIXE,       -,2.17,-0.86,       -,       -,3.91,       -,       -,       -,2.34,2.26,       -,       -,       -,       -,       -,1.51
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.57,       -,-4.57
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.73,-1.73
 PEIXE-SARDINHA,       -,       -,       -,3.8,2.17,       -,       -,       -,-0.58,       -,       -,       -,-2.77,       -,       -,-1.45,1.67
 CAMARÃO,-2.44,       -,       -,-2.66,       -,       -,1.33,       -,-0.08,       -,       -,0.38,1.25,       -,-0.11,-1.37,-0.84
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,-4.73,       -,       -,       -,       -,       -,       -,       -,-4.73
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-2.3,-2.77,       -,       -,       -,       -,       -,       -,       -,-2.59
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.42,       -,       -,       -,2.42
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.89,       -,       -,       -,       -,-6.89
 PEIXE-CAÇÃO,-1.78,       -,       -,       -,-6.3,       -,       -,       -,       -,       -,       -,-4.66,       -,       -,       -,       -,-4.49
 PEIXE-MERLUZA,9.84,       -,       -,-1.19,0.18,       -,       -,       -,-1.88,       -,       -,       -,1.63,       -,       -,       -,3.6
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,-0.74,-7.82,       -,       -,       -,       -,       -,       -,-7.63,       -,-4.15
 PEIXE-PESCADA,2.02,       -,       -,-1.75,1.56,       -,-4.53,       -,3.23,       -,       -,-5.06,       -,       -,1.24,0.39,-1.28
 CARANGUEJO,       -,       -,       -,       -,       -,       -,-0.34,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.34
 PEIXE-CASTANHA,       -,       -,       -,-3.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.72
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.01,       -,       -,-2.01
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.01,       -,       -,-2.01
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.04,2.04
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.41,-0.71,       -,-1.24
 PEIXE-SALMÃO,       -,       -,       -,       -,-2.63,       -,       -,-0.5,       -,       -,       -,       -,1.25,       -,       -,       -,-1.95
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,0.82,       -,       -,       -,       -,       -,       -,       -,0.14,0.8
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,-3.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.35
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.92,-3.2,       -,-2.92
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,-4.86,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.86
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.59,       -,       -,       -,       -,-2.59
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.17,       -,       -,       -,3.17
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.01,       -,       -,-2.01
 CARNES E PEIXES INDUSTRIALIZADOS,0.1,0.13,0.78,0.54,-0.94,-1.26,0.54,-0.76,-0.45,1.11,-1.45,0.51,1.53,-1.98,0.52,-1.17,-0.16
 PRESUNTO,-0.22,0.64,3.09,       -,-1.95,1.4,2.86,-2.36,-2.96,2.02,0.32,-3.41,1.72,-0.89,       -,-5.05,-0.22
 SALSICHA,-2.41,2.07,1.76,-0.82,-1.29,-2.35,3.12,       -,       -,4.06,-1.71,1.37,-0.91,-2.3,1.32,0.07,-0.02
 LINGUIÇA,1.8,-3.86,0.33,-1.05,-0.71,-3.19,3.9,-1.35,-1.67,-2.47,-2.55,1.11,2.14,-2.96,2.01,-0.75,-0.63
 MORTADELA,-1.42,1.79,0.37,-2.15,0.09,       -,-1.96,-1.29,       -,5.58,       -,-3.14,1.35,-2.61,       -,1.21,0.46
 SALAME,       -,1.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.75
 CARNE-SECA E DE SOL,0.74,       -,       -,1.51,       -,       -,-1.19,2.03,0.14,       -,       -,5.77,       -,0.5,-2.12,-1.41,0.37
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-2.73,       -,       -,       -,       -,       -,0.49,       -,       -,       -,       -,       -,       -,       -,-1.05
 HAMBÚRGUER,       -,       -,       -,       -,       -,1.42,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.42
 AVES E OVOS,0.24,0.72,2.54,0.61,-0.55,1.02,5.28,-1.16,2.61,0.65,-1.47,1.79,1.02,2.74,-0.11,1.38,0.92
 FRANGO INTEIRO,-0.96,0.75,4.29,2.33,-1.24,4.43,7.49,-1.82,4.12,-0.73,-1.09,4.24,0.01,5.03,-1.2,3.48,1.82
 FRANGO EM PEDAÇOS,-0.27,0.03,3.17,-1.28,0.66,0.55,1.9,1.26,1.03,3.2,0.51,0.56,2.98,-2.44,1.66,-0.37,0.81
 OVO DE GALINHA,2.67,2.43,-1.24,-2.49,-1.94,-4.2,-0.39,0.02,-0.6,-2.84,-4.19,-2.19,-1.04,0.45,2.39,0.2,-0.69
 LEITE E DERIVADOS,0.7,-0.69,3.66,-1.95,1.29,0.61,0.67,0.61,-0.3,1.36,0.46,1.53,1.95,0.87,-0.39,0.79,0.89
 LEITE LONGA VIDA,1.39,-0.53,5.93,0.39,2.56,0.56,-1.5,2,4.19,2.93,-0.2,2.82,3.62,1.64,1.35,3.87,2.37
 LEITE CONDENSADO,       -,-0.77,       -,       -,       -,       -,-1.35,0.85,       -,       -,       -,       -,-3.04,-0.74,       -,       -,-0.82
 LEITE EM PÓ,1.45,-0.25,       -,-1.3,1.68,       -,1.6,-1.06,-1.53,1.74,0.41,0.21,-0.5,-0.26,-1.1,0.54,0.1
 QUEIJO,0.31,-0.67,0.71,-4.52,-0.61,0.07,1,1.73,-3.29,-1.57,2.67,0.83,0.5,0.23,-4.29,0.18,-0.64
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,-4.6,       -,       -,       -,       -,       -,       -,       -,       -,-4.6
 IOGURTE E BEBIDAS LÁCTEAS,-2.31,-1.76,-0.25,0.25,0.22,1.39,0.53,0.03,-1.15,-0.91,0.54,0.94,1.09,1.55,2.23,-1.8,-0.31
 MANTEIGA,       -,       -,       -,0.24,       -,       -,1.19,0.07,-3.65,       -,       -,-2.39,       -,0.89,       -,-3.07,-1.3
 PANIFICADOS,0.74,-1.2,0.14,-0.82,0.19,-1.16,-1.56,-0.2,-1.22,-0.66,-1.72,-0.13,1.37,-0.15,-1.38,-0.74,-0.3
 BISCOITO,-1.42,-2.13,0.47,1.36,-1.49,-4.88,-0.74,-0.06,-2.89,-1.5,1.24,-1.32,0.36,-0.6,-0.4,-0.94,-1.04
 PÃO FRANCÊS,1.52,-0.13,-0.68,-1.92,0.11,0.16,-2.15,-0.14,-0.27,-0.51,-3.14,0.47,2.02,0.01,-1.12,-0.99,-0.26
 PÃO DOCE,1.49,-0.12,3.95,       -,1.25,-1.46,3.95,-1.23,-1.98,-1.14,       -,-1.09,-0.23,       -,       -,2.13,0.97
 PÃO DE FORMA,0.42,-3.29,1.15,       -,4.4,-0.91,       -,       -,       -,-1.4,-0.32,0.65,1.61,       -,       -,       -,1.31
 BOLO,-0.15,-1.67,0.65,-0.29,-0.81,-0.57,-0.83,-0.83,-2.83,1.38,-2.28,-0.6,-0.21,-0.43,-5.16,1.52,-0.66
 PÃO DE QUEIJO,       -,       -,1.57,       -,       -,-2.74,       -,       -,       -,       -,-2.08,       -,       -,       -,       -,       -,0.03
 ÓLEOS E GORDURAS,-0.37,-1.93,-0.44,0.17,-0.72,-1.31,0.36,0.49,-0.05,-1.18,0.78,-1.04,-1.24,-0.32,-1.08,-0.5,-0.54
 ÓLEO DE SOJA,-0.74,-2.52,-0.98,0.87,-1.84,-2.58,-0.38,-1.09,1.37,-2.51,0.99,-2.68,-2.32,0.07,-2.57,-0.51,-1.17
 AZEITE DE OLIVA,-1.37,       -,       -,       -,1.54,       -,       -,       -,       -,       -,       -,-0.36,       -,       -,       -,       -,0.45
 MARGARINA,0.47,-0.72,0.94,-0.36,0.14,0.11,1.61,2.23,-1.96,1.29,-0.06,2.29,1.3,-1.4,1.84,-0.5,0.32
 BEBIDAS E INFUSÕES,0.35,0.08,-0.4,-1.15,0.74,-1.29,-0.06,-0.95,-1.24,0.46,-1.43,-0.19,-0.07,-0.79,-0.13,-0.64,0.02
 SUCO DE FRUTAS,0.19,0.74,-1.91,-2.32,1.15,-1.45,0.45,-1.82,-4.64,1.82,-0.6,-1.06,0.92,-1.24,-0.04,-0.99,-0.07
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,-0.26,       -,       -,       -,       -,       -,       -,-1.44,       -,       -,-0.27
 CAFÉ MOÍDO,-0.7,-2.64,-0.99,-0.78,-0.74,-2.03,-0.74,-1.14,-3.82,-0.65,0.06,-3.77,-1.56,-1.58,0.34,-0.87,-1.16
 CAFÉ SOLÚVEL,       -,0.08,       -,-1.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.77,-0.33
 CHÁ,       -,-1.74,       -,       -,       -,       -,       -,       -,       -,-0.7,       -,       -,0.88,       -,       -,       -,-1.41
 REFRIGERANTE E ÁGUA MINERAL,1.09,0.45,-0.33,-1.7,1.41,-0.69,0.39,-0.29,-0.58,0.32,-2.71,1.48,0.43,-0.53,0.42,-0.65,0.36
 CERVEJA,-0.14,1.8,0.24,0.92,1.15,-1.99,0.1,-2.73,1.33,1.54,-0.51,1.2,-0.17,-0.51,-1.77,-0.38,0.71
 OUTRAS BEBIDAS ALCOÓLICAS,0.37,0.09,2.38,-0.58,-1.59,0.66,-1.5,-1.3,2.78,1.1,-0.58,0.55,       -,       -,       -,-0.78,-0.03
 ENLATADOS E CONSERVAS,1.59,0.27,1.52,0.21,-1.53,0.34,-0.8,0.43,-0.67,-0.01,0.95,0.85,0.85,1.26,2,-0.48,-0.13
 COCO RALADO,       -,       -,       -,       -,-4.86,-5.21,       -,       -,       -,-2.78,       -,       -,2.99,       -,       -,       -,-3.95
 ERVILHA EM CONSERVA,-0.6,-0.63,       -,       -,       -,-0.3,       -,       -,-0.64,       -,       -,       -,1.71,       -,       -,-0.24,-0.52
 PALMITO EM CONSERVA,1.11,       -,0.77,       -,2.98,       -,       -,       -,       -,-1.24,1.58,1.5,       -,       -,       -,       -,1.69
 PEPINO EM CONSERVA,       -,-0.78,       -,       -,       -,       -,       -,       -,       -,-1.13,       -,       -,0.85,       -,       -,       -,-0.84
 SARDINHA EM CONSERVA,4.87,2.19,1.6,-0.49,-1.77,       -,-2.03,0.13,-0.9,0.98,1.65,2.2,0.75,0.25,1.86,-1.08,0.13
 SALSICHA EM CONSERVA,       -,       -,       -,1.54,       -,1.49,0.84,1.79,       -,       -,       -,       -,       -,2.35,       -,1.23,1.27
 CARNE EM CONSERVA,       -,       -,       -,1.34,       -,       -,0.33,1.63,       -,       -,       -,       -,       -,2.9,2.45,-0.61,1.05
 PATÊ,0.45,0.16,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.28
 SOPA DESIDRATADA,       -,0.6,3.62,       -,-2.81,3.49,       -,       -,       -,       -,-0.16,-2.2,       -,0.9,       -,       -,-0.07
 AZEITONA,1.36,       -,1.87,-1.63,-4.45,0.74,-0.43,       -,0.82,-0.09,0.38,-0.41,-1.03,       -,       -,       -,-1.52
 MILHO-VERDE EM CONSERVA,-1.54,-0.28,-0.43,-0.33,2.07,-0.15,-1.08,1.43,-0.59,1.46,1.38,1.37,1.67,1.63,2.64,-0.05,0.55
 ATUM EM CONSERVA,1.54,0.74,1.05,       -,-0.29,-0.04,       -,-1.75,-2.07,1.93,       -,       -,       -,       -,       -,       -,0.34
 SAL E CONDIMENTOS,3.01,-0.14,2.51,-1.86,1.81,0.85,1.25,2.04,0.18,-0.2,4.22,6.01,2.23,1.2,1.03,-0.14,1.45
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,-2.05,       -,       -,       -,       -,       -,       -,       -,-2.05
 ATOMATADO,-1.28,1.64,1.05,-2.57,-0.42,0.88,2.22,-2.69,0.19,-1.85,1.68,-0.63,-0.95,0.69,2.16,-0.56,-0.19
 ALHO,7.97,       -,8.87,-1.96,5.95,5.42,3.54,6.85,2.69,3.78,11.19,13.65,10.22,2.31,0.65,1.18,6.2
