"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2019",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 FARINHA DE MANDIOCA,2.7,       -,       -,0.1,       -,-0.69,-1.98,2.5,-6.49,       -,       -,-0.32,       -,-1.06,-3.98,-1.14,-2.71
 MASSA SEMIPREPARADA,-1.38,1.7,0.2,       -,1.94,2.74,       -,       -,       -,3.95,0.69,1,1.04,       -,       -,2.23,1.43
" TUBÉRCULOS, RAÍZES E LEGUMES",-6.15,-16.3,-0.81,9.25,-3.1,-0.59,2.81,5.21,-2.08,-4.84,-5.91,5.44,-11.74,5.84,4.6,6.88,-3.1
 BATATA-INGLESA,-2.58,-3.08,11.42,29.5,2.77,4.26,9.91,7.48,4.89,7.41,5.09,21.48,6.11,12.24,16.5,12.28,4.97
 INHAME,       -,       -,       -,6.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.51,7.8
 MANDIOCA (AIPIM),       -,4.7,       -,7.34,       -,       -,       -,       -,       -,       -,       -,2.92,-0.52,       -,       -,-1.03,4.47
 ABÓBORA,8.38,       -,15.21,       -,       -,8.98,       -,       -,       -,       -,15.35,       -,       -,       -,       -,       -,12.09
 PIMENTÃO,       -,       -,       -,       -,       -,       -,       -,       -,0.87,       -,       -,       -,       -,       -,       -,       -,0.87
 QUIABO,       -,       -,-1.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.4
 TOMATE,-24.79,-36.15,-25.08,0.64,-17.86,-13.28,-6.17,-6.79,-18.68,-22.12,-20.89,-12.69,-25.04,0.87,-5.18,-7.16,-19.46
 CEBOLA,6.34,5.27,14.21,6.01,12.9,10.87,12.91,7.66,8.13,8.02,5.37,9.08,4.21,11.18,20.75,21.75,10.21
 CENOURA,30.14,       -,39.22,       -,15.32,20.9,       -,29.05,17.64,14.47,21.08,23.61,       -,       -,       -,15.4,22.45
 MANDIOQUINHA (BATATA-BAROA),       -,       -,       -,       -,3.94,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.94
 AÇÚCARES E DERIVADOS,1.8,1.13,0.25,7.35,0.68,1.67,4.6,2.69,1.96,0.7,0.73,-0.11,0.61,1.45,2.61,-0.81,1.43
 AÇÚCAR REFINADO,2.89,-1.06,       -,       -,-0.28,       -,9.05,2.63,       -,1.49,       -,       -,       -,4.76,1.62,3.56,1.88
 AÇÚCAR CRISTAL,2.96,0.39,1.19,11.92,-0.79,2.4,4.27,3.22,1.69,0.56,0.35,0.55,1.57,0.93,4.77,-1.35,1.92
 BALAS,       -,2.05,       -,       -,       -,       -,       -,       -,       -,1.79,       -,       -,       -,       -,       -,       -,1.91
 CHOCOLATE EM BARRA E BOMBOM,3.45,2.55,-3.1,-0.17,1.56,1.94,0.85,       -,3.52,1.39,-0.18,-0.25,1.29,1.29,       -,2.77,1.3
 SORVETE,-1.9,-0.22,0.86,-0.81,0.33,-0.47,       -,2.39,1.7,-0.94,3.51,-1.37,-0.54,       -,0.17,-6.66,0.07
 CHOCOLATE E ACHOCOLATADO EM PÓ,0.64,1.55,0.38,-0.11,2.14,1.86,1.11,1.78,2.46,0.59,-0.38,-1.89,-0.8,0.49,0,-0.01,1.25
 DOCE DE FRUTAS EM PASTA,       -,       -,       -,11.94,       -,0.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.38
 HORTALIÇAS E VERDURAS,5.44,-2.02,1.32,11.55,1.2,-3.46,7.95,1.69,4.52,0.86,2.02,7.56,5.48,0.14,-2.35,2.29,2.38
 ALFACE,7.28,-2.69,-1.71,9.7,0.46,-6.3,9.95,-0.75,6.69,-6.4,-1.24,3.26,1.23,-1.17,-1.74,7.41,0.55
 COENTRO,       -,       -,       -,10.47,       -,       -,       -,       -,-3.52,       -,       -,       -,       -,       -,       -,-5.79,2.79
 COUVE,6.68,       -,0.65,       -,7.08,-1.09,       -,       -,       -,7.31,0.24,6.6,       -,       -,       -,       -,4.81
 COUVE-FLOR,3.01,-1.82,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.04,       -,       -,       -,       -,0.61
 REPOLHO,15.52,0.18,14.04,19.16,1.98,2.97,12.9,       -,22.58,21.64,9.49,29.67,29.88,15.48,       -,16.75,11.03
 CHEIRO-VERDE,3.21,       -,       -,       -,-0.61,-3.15,5.74,2.09,-2,       -,       -,1.99,-2.35,-2.82,-2.67,       -,1.02
 AGRIÃO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.99,       -,       -,       -,-2.99
 BRÓCOLIS,-2.46,-3.09,2.72,       -,1.6,-1.57,       -,       -,       -,6.67,       -,       -,       -,       -,       -,       -,0.41
 FRUTAS,6.9,-1.07,13.15,10.05,5.82,3.34,0.42,11.36,7.36,3.78,6.91,7.23,6.83,5.86,7.33,7.01,5.45
 BANANA-DA-TERRA,       -,       -,       -,-0.89,       -,       -,       -,       -,8.93,       -,       -,-2.73,       -,1.02,       -,       -,2.99
 ABACAXI,31.15,21.57,22.16,32.57,11.65,       -,       -,       -,       -,23.06,30.13,       -,19.43,       -,       -,9.03,21.31
 ABACATE,       -,       -,       -,       -,       -,       -,8.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,8.71
 BANANA-D'ÁGUA,1.15,1.33,       -,       -,7.35,-4.04,       -,       -,       -,-0.44,       -,       -,4.58,       -,       -,       -,4.86
 BANANA-MAÇÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.48,       -,3.69,       -,       -,       -,-0.38
 BANANA-PRATA,14.25,5.62,23.98,22.84,13.47,15.18,1.01,27.29,13.52,19.77,6.68,17.99,       -,7.12,8.6,14.39,14.4
 LARANJA-BAÍA,       -,-0.98,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.98
 LIMÃO,       -,       -,       -,       -,       -,       -,-19.92,       -,       -,       -,       -,       -,       -,       -,-15.35,       -,-19.06
 MAÇÃ,7,2.08,11.18,5.86,6.03,4.74,4.71,7.08,0.95,0.25,6.37,7.01,4.5,9.91,6.82,5.48,5.48
 MAMÃO,5.23,3.49,8.06,5.26,2.87,0.36,-3.97,-0.53,13.72,-2.27,       -,10.28,4.84,       -,-0.09,-0.21,3.43
 MANGA,13.85,       -,       -,10.25,       -,4.68,       -,       -,       -,       -,       -,22.25,       -,       -,       -,17.29,12.17
 MARACUJÁ,       -,       -,       -,       -,       -,       -,       -,-1.02,7.58,       -,       -,       -,       -,       -,       -,3.33,4.47
 MELANCIA,       -,       -,18.98,6.34,5.17,-0.68,2.47,9.77,-1.24,2.33,8.12,       -,16.08,4.67,17.56,4.41,6.52
 PÊRA,0.93,       -,       -,       -,-1.57,-2.84,       -,       -,       -,       -,4.85,1.73,       -,       -,       -,       -,-0.7
 TANGERINA,       -,-3.3,       -,       -,-3.1,       -,       -,       -,       -,       -,       -,-3.29,       -,       -,       -,       -,-3.29
 UVA,6.79,       -,2.9,7.74,-1.89,2.36,6.93,5.99,12.47,10.01,5.65,8.15,-0.07,5.86,-0.42,11.61,3.49
 LARANJA-PERA,-2.5,       -,7.84,4.05,8.7,-3.72,-2.05,-1.7,4.62,7.77,7.94,3.77,4.84,2.68,3.39,-3.47,4.81
 MORANGO,       -,-3.95,5.51,       -,       -,       -,       -,       -,       -,-3.81,       -,       -,       -,       -,       -,       -,0.36
 GOIABA,       -,       -,       -,       -,       -,       -,       -,0.84,       -,       -,       -,       -,       -,       -,       -,       -,0.84
 CARNES,1.89,1.88,1.16,0.5,0.2,3.63,-1.17,-0.13,1.36,1.55,0.05,-0.03,-0.19,1.99,0.6,1.81,0.78
 FÍGADO,       -,       -,       -,-2.18,       -,       -,0.54,-0.29,0.73,       -,       -,       -,       -,       -,-2.85,2.88,-0.38
 CARNE DE PORCO,1.43,4.4,0.34,2.75,0.47,0.88,1.59,1.84,2.19,-0.76,-0.33,-1.32,-1.65,3.95,-2.17,1.19,0.73
 CARNE DE CARNEIRO,       -,       -,       -,       -,       -,       -,       -,2.66,0.36,       -,       -,       -,       -,       -,       -,       -,1.13
 CONTRAFILÉ,3.33,1.35,1.34,12.39,0.37,4,0.64,3.64,3.03,6.6,1.24,1.32,1.25,6.64,1.46,2.58,2.29
 FILÉ-MIGNON,0.93,       -,       -,2.94,       -,       -,1.77,       -,0.53,-0.04,1.3,       -,0.93,       -,       -,       -,1.02
 CHÃ DE DENTRO,2.81,2.22,3.93,-5.07,-0.12,3.81,-2.26,-0.88,3.78,0.89,0.04,0.49,-0.4,0.6,0.69,3.26,0.57
 ALCATRA,2.54,1.79,4.36,-0.92,1.53,4.28,-1.38,2.03,1.66,4.24,-0.27,1.89,-0.63,1.25,-0.91,2.04,1.8
 PATINHO,5.04,3.36,-3.93,-2.85,-2.44,3.08,-0.96,-1.38,4.12,-2.58,1.74,2.08,-1.7,1.05,1.88,3.92,-0.33
 LAGARTO REDONDO,       -,       -,       -,       -,       -,       -,-4.4,       -,2.75,       -,       -,       -,       -,       -,       -,       -,-2.11
 LAGARTO COMUM,       -,       -,       -,       -,-1.65,3.52,       -,0.35,1.22,       -,-0.86,       -,4.49,1.24,       -,1.61,-0.24
 MÚSCULO,5.73,-2.11,-0.5,0.03,-1.95,       -,-2.92,       -,-0.2,0.35,-1.26,-3.44,1.39,0.74,0.55,1.47,-0.53
 PÁ,       -,0.01,       -,1.95,0.41,0.04,-0.77,       -,3.15,-0.11,       -,       -,-1.89,0.22,1.92,-0.95,0.44
 ACÉM,-4.71,-3.37,-2.27,0.06,1.66,2.41,-1.76,-5.83,-1.63,-1.32,-0.64,-1.55,0.78,1.99,2.41,-0.24,-0.58
 PEITO,       -,       -,       -,       -,       -,       -,-1.7,-5.04,-4.82,       -,1.34,       -,1.09,0.06,2.54,0.68,-2.03
 CAPA DE FILÉ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.69,1.99,       -,       -,2.61
 COSTELA,0.99,3.48,-0.21,0.42,0.06,5.09,-1.64,2.53,-0.22,1.09,-0.29,-0.16,-1.88,0.27,1.71,1.97,1.11
 PESCADOS,4.92,2.15,3.59,-0.2,0.03,-1.41,3.59,-3.24,0.48,2.31,-1.48,1.97,-0.98,4.95,-0.02,0.63,1.59
 PEIXE-ANCHOVA,14.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,14.02
 PEIXE-BADEJO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25,       -,       -,       -,       -,0.25
 PEIXE-CORVINA,7.12,       -,       -,-1.93,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,       -,1.3,1.55
 PEIXE-CAVALINHA,       -,       -,       -,3.4,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.4
 PEIXE,       -,2.15,3.59,       -,       -,-1.41,       -,       -,       -,2.31,-1.48,       -,       -,       -,       -,       -,1.85
 PEIXE-PESCADINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,6.43,       -,6.43
 PEIXE-TAINHA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,2.37,2.37
 PEIXE-SARDINHA,       -,       -,       -,1.48,-7.03,       -,       -,       -,-3.17,       -,       -,       -,1.71,       -,       -,-1.7,-5.11
 CAMARÃO,4.13,       -,       -,-3.21,       -,       -,-0.1,       -,0.52,       -,       -,3.88,-0.98,       -,-3.4,0.51,0.89
 PEIXE-VERMELHO,       -,       -,       -,       -,       -,       -,       -,       -,5.64,       -,       -,       -,       -,       -,       -,       -,5.64
 PEIXE-CAVALA,       -,       -,       -,       -,       -,       -,       -,-9.47,5.88,       -,       -,       -,       -,       -,       -,       -,-0.75
 PEIXE-PACU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25,       -,       -,       -,0.25
 PEIXE-DOURADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.94,       -,       -,       -,       -,-0.93
 PEIXE-CAÇÃO,4.92,       -,       -,       -,0.91,       -,       -,       -,       -,       -,       -,2.45,       -,       -,       -,       -,2.54
 PEIXE-MERLUZA,1.13,       -,       -,0.24,0.03,       -,       -,       -,-2.96,       -,       -,       -,-1.9,       -,       -,       -,0.2
 PEIXE-SERRA,       -,       -,       -,       -,       -,       -,3.59,-7.61,       -,       -,       -,       -,       -,       -,2.95,       -,-0.01
 PEIXE-PESCADA,5.87,       -,       -,1.63,6.16,       -,5.71,       -,-1.32,       -,       -,6.03,       -,       -,1.59,0.63,4.66
 CARANGUEJO,       -,       -,       -,       -,       -,       -,7.35,       -,       -,       -,       -,       -,       -,       -,       -,       -,7.35
 PEIXE-CASTANHA,       -,       -,       -,3.89,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.89
 PEIXE-PIAU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.23,       -,       -,3.23
 PEIXE-SURUBIM,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.95,       -,       -,4.95
 SURURU,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.64,0.64
 PEIXE-CURIMATÃ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.95,-6.59,       -,-4.31
 PEIXE-SALMÃO,       -,       -,       -,       -,-5,       -,       -,-3.24,       -,       -,       -,       -,-0.98,       -,       -,       -,-4.36
 PEIXE-TILÁPIA,       -,       -,       -,       -,       -,       -,       -,-1.6,       -,       -,       -,       -,       -,       -,       -,0.63,-1.55
 PEIXE-TUCUNARÉ,       -,       -,       -,       -,       -,       -,3.59,       -,       -,       -,       -,       -,       -,       -,       -,       -,3.59
 PEIXE-TAMBAQUI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.9,0.98,       -,1.54
 PEIXE-DOURADA,       -,       -,       -,       -,       -,       -,0.57,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.57
 PEIXE-PEROÁ,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-6.12,       -,       -,       -,       -,-6.12
 PEIXE-PINTADO,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-4.33,       -,       -,       -,-4.33
 PEIXE-MANDI,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,4.95,       -,       -,4.95
 CARNES E PEIXES INDUSTRIALIZADOS,1.18,1.03,1.09,0.22,0.52,1.24,0.92,1.61,-0.48,2.9,-1.99,0.56,1.04,0.66,-1.42,-0.28,0.72
 PRESUNTO,-0.91,-2.83,1.76,       -,1.61,0.89,5.8,5.9,0.54,2.96,-1,-0.69,4.32,-1.07,       -,-1.93,0.98
 SALSICHA,3.91,3.58,1.35,-3.05,1.69,-0.12,0.39,       -,       -,3.01,-1.52,-2.21,-0.38,2.87,-1.39,-0.68,1.88
 LINGUIÇA,2.58,2.24,1.2,2.27,0.24,2.8,2.73,1.22,1.08,2.89,-2.77,1.93,0.39,-0.47,-2.1,-1.41,1.05
 MORTADELA,1.53,0.88,1.73,0.99,-1.55,       -,-0.39,0.52,       -,2.81,       -,-1.26,0.23,1.31,       -,-1.93,0.29
 SALAME,       -,-3.47,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-3.47
 CARNE-SECA E DE SOL,-1.86,       -,       -,0.12,       -,       -,-0.14,1.39,-0.97,       -,       -,1.04,       -,2.55,-0.4,1.27,-0.45
 CARNE DE PORCO SALGADA E DEFUMADA,       -,       -,-1.81,       -,       -,       -,       -,       -,-1.84,       -,       -,       -,       -,       -,       -,       -,-1.83
 HAMBÚRGUER,       -,       -,       -,       -,       -,-1.75,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.75
 AVES E OVOS,-0.37,-0.22,0,2.69,-0.48,0.35,-0.01,-0.82,1.75,0.15,0.24,1.15,0.07,0.89,2.71,1.68,0.3
 FRANGO INTEIRO,-2.75,1.03,-0.59,3.43,0.61,1.21,-0.27,-1.2,2.26,-1.03,1.16,3.47,-0.17,1.2,3.61,1.09,0.67
 FRANGO EM PEDAÇOS,0.63,-0.58,2.01,3.17,0.59,-0.42,1.61,0.43,1.53,0.75,1.35,0.82,1.3,0.49,2,2.78,0.85
 OVO DE GALINHA,-0.16,-0.43,-2.1,-0.66,-3.85,0.03,-0.09,-0.15,-0.07,0.57,-4.35,-3.73,-1.99,0.37,0.13,0.6,-1.45
 LEITE E DERIVADOS,2.75,2.45,5.44,-1.27,1.58,0.45,-0.77,-1.55,-3.62,0.83,0.65,0.01,-0.08,-1.51,-3,-0.99,1.08
 LEITE LONGA VIDA,7.78,3.6,9.3,-5.92,2.63,1.31,-3.85,-3.33,-12.36,-0.47,1.45,0.08,0.04,-3.42,-4.87,-2.73,2.1
 LEITE CONDENSADO,       -,0.5,       -,       -,       -,       -,-0.96,2.85,       -,       -,       -,       -,-0.66,-1.71,       -,       -,0.37
 LEITE EM PÓ,-1.21,-0.35,       -,-0.29,1.66,       -,-0.63,-1.27,-0.8,0.59,0.31,-0.77,1.13,-0.47,-2.82,-0.87,-0.58
 QUEIJO,-0.67,1.06,0.45,-0.79,-0.28,-1.49,1.7,0.07,2.53,4.16,-2.1,0.57,-1.4,0.95,0.45,-0.3,0.24
 CREME DE LEITE,       -,       -,       -,       -,       -,       -,       -,3.69,       -,       -,       -,       -,       -,       -,       -,       -,3.69
 IOGURTE E BEBIDAS LÁCTEAS,-0.44,2.41,-0.67,2.17,1.65,0.51,0.83,0.15,-0.82,0.82,1.36,-0.78,1.86,1.01,-1.41,0.29,0.82
 MANTEIGA,       -,       -,       -,0.71,       -,       -,-0.01,-3.24,2.41,       -,       -,-0.04,       -,0.69,       -,0.59,0.56
 PANIFICADOS,0.82,-0.68,0.12,-0.56,-0.59,0.69,0.24,-0.52,0.76,0.11,-0.64,0.49,1.36,-1.12,-0.91,-0.59,-0.1
 BISCOITO,-0.38,-0.07,-0.52,-0.43,2.46,1.79,1.24,-0.68,-3.17,-0.93,-0.53,-0.28,2.75,0.51,-2.41,-1.33,0.1
 PÃO FRANCÊS,1.03,-0.46,-0.08,-0.55,-2.01,0.64,0.07,-0.44,2.48,0.34,-0.96,0.95,1.49,-1.97,-0.38,-0.42,-0.32
 PÃO DOCE,-0.5,-1.81,2.23,       -,1.61,-1.18,-1.66,-1.61,3.79,3.82,       -,2.88,0.46,       -,       -,2.38,1.18
 PÃO DE FORMA,2.43,-1.3,-0.73,       -,-0.38,4.11,       -,       -,       -,2.62,2.24,-0.34,-0.76,       -,       -,       -,0.46
 BOLO,0.94,-2.36,-1.9,-1.47,0.03,-1.65,-0.92,-0.21,1.36,-2.57,-2.63,-0.84,-2.6,3.21,-1.55,-1.32,-0.94
 PÃO DE QUEIJO,       -,       -,4.82,       -,       -,-1.04,       -,       -,       -,       -,0.03,       -,       -,       -,       -,       -,2.8
 ÓLEOS E GORDURAS,0.13,0.32,2.39,-1.68,1.07,0.47,-0.44,0.11,-1.22,-1.25,0.97,0.32,0.88,-0.26,-0.29,-0.84,0.35
 ÓLEO DE SOJA,-1.1,0.7,3.01,0.07,-0.07,-1.03,-0.16,0.5,-1.07,-1.74,1.49,-0.28,-0.28,0.07,-0.99,-1.07,0.19
 AZEITE DE OLIVA,1.45,       -,       -,       -,1.75,       -,       -,       -,       -,       -,       -,2.53,       -,       -,       -,       -,1.68
 MARGARINA,0.74,-0.43,0.78,-2.95,2.74,2.23,-0.88,-0.33,-1.44,-0.29,-0.97,0.48,3.72,-1.21,1,-0.5,0.38
 BEBIDAS E INFUSÕES,1.24,0.18,0.24,0.64,0.16,0.86,2.75,0.08,0.81,0.03,0.24,0.29,1.3,0.71,-0.59,0.49,0.51
 SUCO DE FRUTAS,0.14,1.09,-1.18,3.05,0.63,2.69,-0.79,1.62,1.1,-0.4,1.08,0.61,1.21,-1.18,1.25,0.98,0.52
 AÇAÍ (EMULSÃO),       -,       -,       -,       -,       -,       -,10.61,       -,       -,       -,       -,       -,       -,1.2,       -,       -,10.48
 CAFÉ MOÍDO,1.51,0.33,-0.56,0.53,-0.28,3.45,-0.68,-0.26,-1.41,-1.13,-1.21,-0.91,0.76,0.18,-1.5,0.37,-0.26
 CAFÉ SOLÚVEL,       -,-5.92,       -,0.83,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.56,-3.66
 CHÁ,       -,-0.17,       -,       -,       -,       -,       -,       -,       -,-0.51,       -,       -,2.26,       -,       -,       -,-0.14
 REFRIGERANTE E ÁGUA MINERAL,1.19,1.67,0.36,0.47,0.05,-0.57,0.35,0.46,1.88,2.02,0.85,1.59,1.37,1.02,-0.49,0.66,0.73
 CERVEJA,1.87,-1.25,1.53,0.23,0.55,-0.09,-0.43,-1.32,2.08,-2.68,0.51,-1.09,1.44,0.99,-0.39,0.43,0.27
 OUTRAS BEBIDAS ALCOÓLICAS,0.73,0.7,0.05,0.02,0,0.26,-0.73,-1.14,-0.94,1.65,-1.11,0.57,       -,       -,       -,-0.66,0.3
 ENLATADOS E CONSERVAS,1.36,2.22,0.92,0.36,0.83,1.02,0.84,1.29,2.71,-0.14,0.63,1.16,2.1,1.72,-0.67,-0.08,0.95
 COCO RALADO,       -,       -,       -,       -,1.4,1.2,       -,       -,       -,-0.16,       -,       -,-0.02,       -,       -,       -,0.87
 ERVILHA EM CONSERVA,3.2,2.48,       -,       -,       -,4.82,       -,       -,3.99,       -,       -,       -,0.21,       -,       -,0.63,2.9
 PALMITO EM CONSERVA,-1.43,       -,-1,       -,2.06,       -,       -,       -,       -,0.24,1.74,1.37,       -,       -,       -,       -,1.01
 PEPINO EM CONSERVA,       -,4.89,       -,       -,       -,       -,       -,       -,       -,0.37,       -,       -,2.1,       -,       -,       -,3.29
 SARDINHA EM CONSERVA,2,2.38,-0.56,1.05,2.42,       -,-0.3,1.77,3.64,-0.44,1.09,2.12,3.3,1.94,-0.28,0.24,1.31
 SALSICHA EM CONSERVA,       -,       -,       -,0.89,       -,-1.41,3.07,-0.06,       -,       -,       -,       -,       -,2.24,       -,-1.08,1.28
 CARNE EM CONSERVA,       -,       -,       -,-0.12,       -,       -,2.23,0.67,       -,       -,       -,       -,       -,2.52,-1.98,-0.03,0.76
 PATÊ,0.99,1.78,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.42
 SOPA DESIDRATADA,       -,-0.64,2.22,       -,1.21,2.26,       -,       -,       -,       -,0.7,0.49,       -,0.33,       -,       -,1.21
 AZEITONA,-0.67,       -,0.88,-1.24,-1.78,-1.84,1.1,       -,-0.11,1.3,0.33,-0.16,1.45,       -,       -,       -,-0.51
 MILHO-VERDE EM CONSERVA,1.35,1.69,3.25,-1.36,-0.04,2.97,-1.08,2.57,3.24,-1.94,-1.83,1.01,2.53,2.75,-2.5,-0.93,0.71
 ATUM EM CONSERVA,2.93,0.4,0.17,       -,1.32,0.24,       -,0.6,2.34,-0.84,       -,       -,       -,       -,       -,       -,1.1
 SAL E CONDIMENTOS,2.38,-0.72,0.78,2.82,-0.61,-0.73,-0.79,-0.09,1.51,0.27,0.64,-0.83,0.95,-0.93,-0.17,0.83,0.25
 LEITE DE COCO,       -,       -,       -,       -,       -,       -,       -,       -,2.71,       -,       -,       -,       -,       -,       -,       -,2.71
 ATOMATADO,1.3,-1.23,1.13,2.46,-1.4,-0.58,-0.97,0.38,0.75,0.74,-0.34,-0.52,2.61,-0.07,-1.61,0.75,-0.15
 ALHO,4.92,       -,0.7,4.85,-3.17,-3.42,1.46,-1.5,5.37,0.61,3.07,-2.43,-4.31,-1.95,-0.71,0.12,0.28
 SAL,       -,       -,       -,       -,       -,2.38,-1.43,0.62,       -,       -,2.01,       -,1.41,-0.6,0.83,       -,0.52
 FERMENTO,       -,0.24,       -,       -,       -,       -,       -,       -,       -,-2.03,       -,-1.46,       -,       -,       -,       -,-0.85
 MAIONESE,-0.94,-0.55,0.71,4.29,3.42,3.27,-1.16,0.74,       -,1.72,0.13,1.34,2.38,-0.19,       -,       -,1.38
 VINAGRE,       -,       -,       -,0.22,       -,       -,-0.46,       -,       -,       -,       -,       -,       -,       -,0.73,1.15,0.07
 CALDO CONCENTRADO,1.62,-2.03,0.01,3.27,-0.16,2.26,       -,1.62,-2.89,       -,       -,-0.69,       -,       -,       -,1.6,-0.23
